AL,ANONYMOUS_1,CA,S,V40,FE,U4,PQINDEX,U6,B,ZN,P,CU,U14,BA,U20,MG,SI,U25,U50,Y_LABEL
1,1732,52,1377,44.5,3,9854.0,2,628.0,14,669,448,4,16.0,0,12.0,2,0,5.0,4.0,0
5,5698,2266,7889,56.3,5,6770.0,5,1326.0,0,480,354,1,30.0,0,8.0,0,0,5.0,4.0,0
3,1736,2623,1117,44.6,3,13088.0,8,3435.0,113,633,398,7,2.0,0,1.0,2,2,1.0,0.0,0
0,6326,4,5802,57.9,4,18874.0,11,692.0,2,415,341,75,24.0,0,7.0,0,2,4.0,0.0,0
1,4152,3030,4067,71.6,5,14138.0,12,13704.0,1,235,201,5,890.0,0,324.0,1,0,65.0,0.0,0
2,1350,2486,2379,45.8,3,9837.0,8,1948.0,1,625,423,3,236.0,1,91.0,2,0,60.0,2.0,0
0,5934,91,1265,43.9,5,22992.0,17,4553.0,3,681,439,8,11.0,0,4.0,1,4,2.0,2.0,0
6,2397,4,6728,44.5,6,36333.0,241,7887.0,133,435,336,2,9.0,0,2.0,2,3,1.0,0.0,0
2,1751,27,10250,67.1,12,29840.0,18,1763.0,1,331,256,2,11.0,0,3.0,5,3,1.0,1.0,0
4,1924,3457,1055,57.8,4,10442.0,12,452.0,152,568,417,4,19.0,0,9.0,1,5,4.0,3.0,0
0,2444,62,1253,44.9,3,3655.0,6,795.0,2,678,464,122,67.0,0,14.0,0,3,3.0,0.0,0
0,6546,39,6333,67.8,4,8800.0,9,614.0,6,368,325,0,8.0,0,2.0,0,2,1.0,1.0,0
0,8064,914,1265,43.7,2,24354.0,11,8751.0,15,701,478,4,110.0,0,33.0,1,0,14.0,0.0,0
2,5780,2079,9585,66.7,4,3962.0,8,680.0,118,278,212,3,21.0,0,5.0,0,0,5.0,2.0,0
3,2037,2321,8716,45.4,75,31641.0,52,27056.0,2,358,307,72,1110.0,0,299.0,2,2,159.0,4.0,0
5,1413,12,891,44.6,0,25317.0,18,8701.0,0,412,302,1,190.0,2,40.0,0,0,24.0,15.0,0
3,1364,2992,5835,67.2,3,5930.0,5,2302.0,330,450,334,2,103.0,1,18.0,0,0,7.0,6.0,0
15,5186,63,1176,45.9,4,24368.0,19,1773.0,0,686,454,10,30.0,0,7.0,3,9,6.0,0.0,0
0,2311,26,8039,64.5,15,121032.0,104,6341.0,8,279,230,16,298.0,0,100.0,2,1,86.0,0.0,0
3,1181,2812,1754,47.0,10,6494.0,7,2103.0,3,606,414,9,100.0,4,15.0,2,2,9.0,8.0,0
0,1689,5,1117,44.2,3,11992.0,9,7018.0,191,687,449,10,343.0,0,67.0,1,5,31.0,1.0,0
3,1486,2965,932,43.1,117,31158.0,19,9798.0,90,662,475,334,70.0,0,9.0,4,6,2.0,0.0,0
2,6542,3152,5251,61.5,2,7094.0,17,2510.0,96,308,267,10,220.0,0,76.0,7,1,68.0,51.0,0
2,1310,3223,3012,48.1,20,32235.0,11,31009.0,0,256,236,6,779.0,0,66.0,1,13,35.0,28.0,0
1,3097,36,6733,67.0,16,26289.0,18,3193.0,98,348,281,1,84.0,0,9.0,2,4,7.0,0.0,0
2,1540,3528,1345,44.2,2,15083.0,12,8008.0,2,633,534,25,438.0,0,97.0,2,0,68.0,44.0,0
4,2457,2475,2339,50.2,6,14216.0,21,8181.0,2,552,379,9,1797.0,0,484.0,1,1,182.0,1.0,0
1,2008,20,9654,68.2,8,11818.0,18,3607.0,13,278,255,6,352.0,0,118.0,3,2,67.0,1.0,0
7,2436,3365,4925,68.7,11,28832.0,21,4237.0,118,214,207,9,24.0,1,4.0,0,2,1.0,0.0,0
0,2007,23,1445,44.0,166,8546.0,26,823.0,23,689,512,291,36.0,0,5.0,0,3,3.0,0.0,0
1,1366,10,2192,45.6,3,24513.0,4,3150.0,1,663,448,181,110.0,2,31.0,0,0,11.0,0.0,0
4,1709,1508,955,43.4,4,13213.0,3,4815.0,42,642,444,154,311.0,0,49.0,3,3,26.0,2.0,0
0,1347,140,2575,47.4,13,46574.0,17,7578.0,1,628,455,13,39.0,0,13.0,4,2,9.0,1.0,0
3,1516,2999,1520,47.3,5,19948.0,8,14249.0,1,590,384,8,822.0,0,119.0,3,5,45.0,1.0,0
1,1735,1646,2625,48.6,6,4214.0,5,385.0,14,480,353,10,23.0,0,5.0,3,2,4.0,2.0,0
3,1175,2894,386,2.9,2,26417.0,39,17853.0,3,2,3,0,2813.0,3,1046.0,0,1,343.0,0.0,0
3,3070,6,2151,46.5,2,6392.0,8,222.0,6,282,240,2,7.0,0,2.0,36,0,1.0,1.0,0
0,2398,200,3292,55.2,5,13067.0,7,231.0,228,357,310,29,6.0,0,2.0,1,3,1.0,1.0,0
14,2025,272,1169,43.9,6,22244.0,21,20320.0,180,649,453,9,433.0,0,52.0,2,2,39.0,0.0,0
0,7534,3058,5768,61.4,13,39566.0,10,5599.0,4,412,340,36,14.0,0,11.0,3,7,6.0,0.0,0
0,3389,94,7580,57.4,9,11935.0,10,8788.0,1,356,255,9,666.0,0,102.0,2,11,85.0,0.0,0
1,1750,3133,4844,66.8,5,4226.0,19,229.0,334,382,307,2,8.0,0,3.0,2,1,0.0,0.0,0
2,3033,3150,3141,60.7,15,20087.0,26,4178.0,89,257,234,9,217.0,0,84.0,2,4,43.0,9.0,0
3,1000,123,1252,44.7,2,10923.0,18,1371.0,15,652,430,94,45.0,0,22.0,3,0,14.0,2.0,0
1,4969,13,5078,52.8,4,8141.0,12,607.0,1,538,360,4,11.0,0,3.0,3,2,2.0,0.0,0
0,2295,211,990,45.5,1,8053.0,5,1749.0,0,720,626,24,39.0,0,9.0,2,1,3.0,0.0,0
6,5192,399,1128,44.1,7,7713.0,18,1106.0,4,728,440,12,99.0,0,40.0,3,0,39.0,0.0,0
0,2088,119,1189,44.0,0,7190.0,5,1586.0,0,667,586,42,56.0,0,12.0,0,0,8.0,4.0,0
1,3480,3069,1259,44.8,4,21862.0,5,3355.0,388,746,471,9,70.0,0,23.0,2,2,19.0,17.0,0
10,3297,2825,2609,67.5,0,15448.0,12,4912.0,171,380,351,1,170.0,0,72.0,1,0,24.0,0.0,0
4630,3096,2358,6870,63.1,5,4662.0,11,2518.0,33,436,331,2,152.0,46,17.0,0,1,9.0,4.0,1
19,1750,30,1580,46.8,3,31501.0,23,24955.0,3,600,402,4,1279.0,0,165.0,1,7,75.0,0.0,0
0,3390,7,4551,50.3,6,9488.0,7,1707.0,2,606,453,3,99.0,0,16.0,3,3,12.0,0.0,0
0,1653,409,1170,43.9,66,6561.0,13,1489.0,16,723,544,199,144.0,1,17.0,3,0,10.0,0.0,0
2,2073,13,3236,72.3,6,23812.0,6,4456.0,1,403,309,0,96.0,0,23.0,0,0,13.0,11.0,0
4,1668,79,1126,44.1,5,25992.0,17,5897.0,2,677,416,8,177.0,0,33.0,2,2,26.0,0.0,0
0,5916,24,9150,66.3,6,12675.0,8,5720.0,2,278,240,2,432.0,0,60.0,27,3,32.0,1.0,0
4,1702,3030,1471,45.4,3,3086.0,4,580.0,92,673,475,4,48.0,6,11.0,2,3,7.0,0.0,0
9,7705,697,5083,57.9,13,7046.0,5,1619.0,19,326,248,32,50.0,0,6.0,5,19,3.0,3.0,0
2,2506,62,1606,45.2,5,9579.0,21,2271.0,10,647,432,21,195.0,0,59.0,3,2,41.0,34.0,0
0,4493,54,1283,44.4,2,6908.0,11,2347.0,0,718,476,3,176.0,0,16.0,2,1,12.0,0.0,1
10,1474,3221,5169,54.1,6,2778.0,16,1024.0,133,492,365,4,31.0,0,5.0,2,1,2.0,1.0,0
2,2453,11,2158,45.8,5,10084.0,45,1082.0,11,277,243,5,7.0,0,2.0,23,3,1.0,0.0,0
6,3657,2866,1149,44.7,30,28369.0,22,9842.0,120,660,441,210,249.0,0,27.0,0,1,13.0,1.0,0
3,2044,300,396,3.4,0,11679.0,12,3450.0,5,0,2,0,80.0,0,15.0,1,2,12.0,0.0,0
9,1377,21,7366,68.8,21,33112.0,102,31994.0,0,374,320,5,990.0,1,107.0,4,4,27.0,11.0,0
3,1529,2953,1262,44.3,11,26708.0,10,1769.0,128,713,527,99,36.0,0,8.0,2,1,4.0,0.0,0
9,2009,2769,3467,43.5,11,11677.0,11,699.0,236,660,500,17,49.0,0,24.0,6,12,8.0,0.0,0
1,1370,140,2273,49.8,4,3613.0,16,793.0,16,484,408,13,28.0,1,4.0,4,2,3.0,1.0,0
69,1533,76,1096,45.4,2,8049.0,2,315.0,2,561,385,3,24.0,2,4.0,0,0,3.0,1.0,1
2,1692,21,1604,46.4,7,6479.0,6,2514.0,2,650,440,10,201.0,0,46.0,2,3,19.0,0.0,0
1,2033,2610,4237,59.0,167,14009.0,43,3042.0,7,480,399,147,113.0,0,33.0,0,3,18.0,0.0,0
2,2401,2466,7875,67.4,73,18051.0,48,10274.0,6,149,146,28,1207.0,0,512.0,38,3,361.0,15.0,0
4,4862,67,6652,66.0,21,24795.0,26,4766.0,7,395,303,1,195.0,0,42.0,1,2,31.0,2.0,0
736,5273,134,1300,44.5,2,4108.0,5,626.0,144,687,510,105,12.0,5,3.0,9,0,2.0,0.0,1
0,3065,94,7426,62.8,4,14698.0,19,2834.0,5,347,278,6,219.0,0,95.0,14,3,65.0,1.0,0
3,2754,502,3546,54.0,239,10755.0,46,337.0,3,525,383,126,16.0,0,1.0,1,3,1.0,0.0,0
7,2411,3631,1760,55.1,3,4459.0,5,513.0,127,402,319,14,14.0,0,9.0,0,3,3.0,1.0,0
147,3714,12,7729,70.5,6,2656.0,9,568.0,129,264,215,3,20.0,0,3.0,0,0,3.0,2.0,1
2,1753,51,1253,44.4,3,1264.0,8,423.0,2,754,467,8,18.0,2,2.0,4,2,2.0,1.0,0
0,1725,166,4934,67.3,14,21128.0,8,18518.0,10,210,211,33,2771.0,0,1063.0,5,31,660.0,551.0,0
4,6581,3104,4603,62.7,12,29248.0,8,19659.0,2,209,218,21,992.0,0,136.0,5,11,69.0,0.0,0
124,2415,34,3273,69.9,5,20646.0,9,3014.0,0,330,243,0,53.0,2,8.0,0,1,7.0,1.0,1
7,6103,992,3908,60.3,1,1709.0,5,144.0,29,228,228,16,33.0,0,19.0,0,2,12.0,9.0,0
3,1187,2475,7786,68.3,4,9445.0,10,1576.0,9,311,247,5,123.0,3,50.0,1,1,39.0,7.0,0
4,1186,2733,1486,43.8,4,9647.0,4,3464.0,0,709,454,2,191.0,9,47.0,2,2,17.0,1.0,0
62,1347,17,7782,68.8,16,42919.0,17,2743.0,17,356,293,3,12.0,8,1.0,4,7,1.0,0.0,1
0,8325,92,2672,56.3,9,17094.0,20,1152.0,2,461,327,5,25.0,0,8.0,2,4,5.0,0.0,0
2,1308,150,4163,56.4,5,7817.0,7,2097.0,20,351,260,27,59.0,0,12.0,0,7,9.0,4.0,0
0,3625,5,1860,45.6,7,30363.0,30,23135.0,178,690,478,14,1149.0,0,196.0,3,3,35.0,0.0,0
0,2397,159,1402,45.6,1,2549.0,5,607.0,2,710,577,24,22.0,0,7.0,4,1,5.0,0.0,0
2,2896,42,10150,70.1,6,616.0,40,97.0,4,439,343,2,4.0,0,2.0,2,3,1.0,1.0,0
6,2614,2704,7776,60.5,9,8568.0,5,3059.0,106,116,107,4,175.0,0,48.0,1,4,36.0,2.0,0
2,7314,3626,6045,68.2,3,5769.0,15,2791.0,491,43,55,4,155.0,0,26.0,0,0,13.0,8.0,0
0,1720,122,9596,68.5,10,14780.0,15,811.0,0,303,262,2,22.0,1,20.0,2,0,7.0,0.0,0
6,1753,2,4359,68.0,24,36261.0,5,16597.0,12,198,214,44,160.0,0,41.0,6,58,37.0,29.0,0
150,7610,195,6545,61.5,4,10806.0,12,1049.0,119,428,341,45,9.0,0,3.0,1,40,3.0,0.0,1
2,3200,3546,1875,51.3,2,13259.0,6,1054.0,126,604,516,12,76.0,0,30.0,8,3,25.0,5.0,0
2,3200,3539,2106,46.4,4,11055.0,6,1551.0,1,648,509,32,13.0,0,3.0,2,0,2.0,1.0,0
3,3545,335,2405,48.4,112,38972.0,28,2862.0,4,555,466,181,78.0,0,10.0,1,7,4.0,0.0,1
4,1516,3354,1261,46.1,8,9879.0,12,904.0,5,513,348,6,23.0,0,5.0,3,2,2.0,2.0,0
1,3599,138,1338,43.7,37,6590.0,104,1539.0,5,639,476,279,36.0,0,9.0,3,2,4.0,0.0,0
0,4782,43,7460,68.0,4,10204.0,27,1541.0,18,305,241,4,86.0,0,40.0,0,0,17.0,0.0,0
0,1710,2585,4203,63.6,10,8030.0,11,1646.0,16,437,352,93,48.0,0,22.0,0,0,14.0,0.0,0
0,1693,99,1289,46.4,146,12806.0,21,1164.0,7,646,460,285,40.0,0,4.0,1,2,2.0,0.0,0
4,1347,3195,1360,44.3,0,6404.0,4,1047.0,120,748,515,112,43.0,0,10.0,2,0,8.0,0.0,0
1,1376,2580,1316,44.1,11,26762.0,7,1055.0,4,718,509,275,24.0,0,12.0,15,19,8.0,0.0,0
7,1977,3227,1219,46.0,1,1675.0,12,286.0,109,711,454,8,16.0,0,7.0,0,2,4.0,1.0,0
0,1597,15,1146,44.2,1,5962.0,6,760.0,3,589,387,86,192.0,0,38.0,3,2,23.0,1.0,0
2,2087,3560,1602,47.3,3,6196.0,12,575.0,5,709,554,20,17.0,0,4.0,2,0,2.0,0.0,0
2,1369,20,3097,69.0,4,14088.0,6,1388.0,125,276,228,0,21.0,0,10.0,1,0,4.0,0.0,0
0,1379,33,1367,44.5,40,19084.0,13,3634.0,72,704,502,186,275.0,1,48.0,3,1,26.0,1.0,0
4,3903,2693,1215,46.6,1,873.0,13,290.0,289,759,474,20,10.0,0,2.0,1,0,1.0,1.0,0
3,4581,3361,1771,41.9,2,5329.0,5,1611.0,0,589,431,152,94.0,0,26.0,0,1,18.0,0.0,0
0,1697,23,2437,45.2,11,23542.0,6,1757.0,4,702,469,10,50.0,0,16.0,3,5,14.0,0.0,0
1,1370,140,1224,44.7,28,3768.0,14,149.0,17,713,482,175,6.0,1,2.0,8,1,1.0,0.0,0
4,1172,2741,6831,67.6,9,32192.0,11,7108.0,20,264,227,2,484.0,3,121.0,0,2,116.0,17.0,0
4,1757,3249,3362,61.5,8,22182.0,9,1353.0,2,481,380,98,28.0,0,4.0,0,6,3.0,0.0,0
107,2124,328,5177,63.4,8,17701.0,14,1009.0,184,292,247,11,65.0,0,15.0,1,2,4.0,0.0,1
4,1403,3175,1882,45.9,34,34413.0,28,24090.0,408,671,471,217,314.0,0,81.0,2,5,42.0,0.0,0
1,1714,152,1250,45.5,2,7738.0,12,1923.0,19,675,456,89,96.0,0,18.0,1,0,3.0,0.0,0
2,6348,3524,1062,45.5,0,19958.0,8,1405.0,75,620,400,6,6.0,0,0.0,3,0,0.0,0.0,0
3,1406,15,1141,44.2,5,4119.0,8,1805.0,3,584,431,5,116.0,7,21.0,3,2,16.0,1.0,0
6,1353,21,1043,43.5,39,5302.0,22,460.0,3,598,493,151,33.0,1,5.0,8,8,3.0,0.0,0
1,5412,39,5040,68.7,3,14987.0,6,14627.0,3,117,150,41,992.0,0,98.0,4,4,6.0,3.0,1
0,3531,9,1147,43.5,5,4418.0,5,1901.0,174,620,419,6,80.0,0,10.0,1,2,9.0,0.0,0
3,2059,535,3112,55.7,7,27220.0,18,20370.0,18,435,313,9,1992.0,0,516.0,1,0,262.0,212.0,0
1,2180,2706,1356,45.2,2,3160.0,7,381.0,3,733,490,214,12.0,0,2.0,2,0,2.0,0.0,0
0,5886,30,5848,54.5,10,13768.0,14,7695.0,48,391,282,5,46.0,1,27.0,4,3,7.0,0.0,0
3,2351,9,9563,60.7,9,52149.0,6,6829.0,4,267,281,4,13.0,0,6.0,20,3,5.0,0.0,0
5,3772,2945,7977,68.2,6,15923.0,17,13810.0,109,284,231,2,848.0,0,384.0,2,0,232.0,5.0,0
1,3121,13,6162,69.2,12,8784.0,16,1364.0,5,505,407,0,82.0,0,25.0,0,2,14.0,6.0,0
5,3437,112,6150,61.8,9,23869.0,6,700.0,2,363,300,30,51.0,0,18.0,3,4,0.0,0.0,0
0,8073,22,1145,45.8,1,313.0,5,130.0,164,718,482,32,16.0,0,10.0,2,0,6.0,6.0,0
4,2033,3082,1381,51.3,176,9933.0,33,1311.0,329,547,406,246,32.0,0,9.0,2,2,4.0,0.0,0
3,1525,3612,1851,41.5,13,6956.0,17,714.0,17,640,449,171,28.0,0,6.0,1,0,5.0,0.0,0
3,2077,47,9727,57.2,5,17275.0,17,737.0,0,354,288,2,9.0,2,1.0,0,0,1.0,1.0,1
2,1361,3093,1078,44.4,2,589.0,8,288.0,382,589,373,15,20.0,0,4.0,2,0,1.0,1.0,0
2,1562,3345,7950,64.2,18,31695.0,46,17686.0,101,42,74,2,538.0,6,176.0,3,1,67.0,0.0,0
0,6282,52,11000,68.4,8,21013.0,23,1021.0,3,268,242,1,19.0,0,10.0,10,2,3.0,0.0,0
1,11129,3134,7651,68.0,12,7644.0,21,1817.0,2,296,239,9,36.0,0,4.0,3,1,1.0,0.0,0
3,4131,3287,7505,60.3,5,40357.0,11,16442.0,3,65,74,14,185.0,0,19.0,0,2,12.0,0.0,0
1,2057,211,1255,44.7,3,14360.0,9,401.0,13,684,498,186,11.0,0,5.0,3,1,2.0,0.0,0
1,2512,63,7220,70.7,4,1246.0,5,208.0,4,153,157,7,15.0,0,4.0,2,1,2.0,1.0,0
1,1000,149,1940,43.2,1,11786.0,25,280.0,38,604,429,134,20.0,0,3.0,3,1,3.0,0.0,0
0,1377,25,1252,43.6,83,13304.0,143,101.0,0,636,435,268,2.0,5,0.0,4,1,0.0,0.0,1
0,5212,23,1244,44.4,5,3405.0,11,1370.0,2,727,497,7,175.0,0,54.0,3,2,39.0,1.0,0
1,3419,2911,2728,62.1,1,1096.0,11,127.0,4,396,312,2,3.0,0,1.0,4,0,0.0,0.0,0
6,5458,2269,7527,59.6,3,23333.0,13,2987.0,3,449,347,1,52.0,0,12.0,0,1,11.0,0.0,0
4,1987,2885,1164,44.6,2,5850.0,12,1177.0,117,685,450,2,12.0,2,2.0,1,0,1.0,1.0,0
7,3064,2751,1400,45.0,161,12815.0,18,3223.0,204,667,505,480,157.0,0,59.0,3,3,29.0,0.0,0
2,1786,2639,2394,43.0,2,48760.0,11,17399.0,10,632,434,119,30.0,0,11.0,1,0,1.0,0.0,0
0,2796,45,6073,58.8,7,13212.0,9,5908.0,12,463,353,3,322.0,0,56.0,5,6,25.0,0.0,0
0,39468,36,1866,51.2,6,35818.0,6,3042.0,0,614,411,5,40.0,0,19.0,4,5,12.0,11.0,0
1,1460,2344,8554,56.8,8,41689.0,20,12933.0,9,367,271,9,116.0,1,9.0,0,10,1.0,0.0,0
6,1794,3363,1258,43.8,4,6303.0,9,486.0,109,636,439,2,8.0,0,1.0,0,2,0.0,0.0,0
42,2204,70,1212,44.1,5,24196.0,3,4741.0,178,660,440,165,156.0,1,20.0,0,3,7.0,0.0,1
0,1695,3496,5498,73.3,6,1435.0,5,416.0,124,54,97,8,13.0,0,6.0,1,13,5.0,4.0,0
1,2374,456,8329,66.6,16,27934.0,23,4143.0,33,354,290,2,161.0,0,29.0,0,2,16.0,0.0,0
52,1796,22,1476,45.5,186,21375.0,22,11929.0,3,623,474,256,926.0,1,379.0,3,8,217.0,1.0,1
1,1336,436,5088,60.9,121,11443.0,24,1041.0,185,422,339,78,45.0,30,5.0,10,13,2.0,0.0,0
6,1851,2894,6473,47.1,114,34546.0,31,14474.0,12,670,558,194,355.0,0,89.0,5,4,38.0,0.0,0
2,1698,185,1280,43.7,4,34517.0,7,989.0,5,584,402,228,31.0,0,13.0,2,2,7.0,0.0,0
5,2708,3432,2872,70.5,1,4434.0,6,419.0,156,313,234,1,12.0,0,6.0,0,0,4.0,0.0,0
4,4567,41,10240,68.6,11,12342.0,15,625.0,7,332,263,0,19.0,0,3.0,3,3,2.0,0.0,0
3,4664,298,1580,44.1,6,21385.0,15,12230.0,40,704,491,12,605.0,1,83.0,2,18,13.0,0.0,0
0,4157,88,1801,45.3,2,6155.0,10,590.0,6,712,406,5,11.0,0,3.0,4,0,2.0,1.0,0
0,1658,51,2422,41.4,413,14684.0,98,1000.0,13,579,472,202,88.0,1,20.0,4,5,10.0,0.0,0
2,3099,2823,1043,45.3,3,4041.0,7,365.0,437,566,376,5,24.0,0,11.0,1,0,6.0,0.0,0
11,1562,3352,8301,67.5,8,29061.0,28,13139.0,44,228,252,12,588.0,1,89.0,1,1,21.0,0.0,0
0,1420,10,1260,44.9,7,6966.0,11,2260.0,13,714,466,8,77.0,5,13.0,2,2,6.0,0.0,0
3,6626,1144,7567,64.4,9,24649.0,19,4630.0,5,303,254,2,59.0,0,12.0,1,1,11.0,5.0,0
0,8809,3673,1191,47.3,5,1002.0,23,277.0,118,712,463,8,9.0,0,5.0,1,0,2.0,2.0,0
1,1361,145,6353,58.8,10,7908.0,57,1984.0,19,484,359,11,149.0,0,53.0,2,5,37.0,0.0,0
54,1184,2904,1801,48.2,2,12243.0,9,271.0,3,688,512,149,15.0,5,4.0,0,2,2.0,0.0,1
0,2029,113,1134,45.3,0,868.0,6,78.0,1,712,563,6,3.0,0,1.0,0,0,0.0,0.0,0
3,1321,3386,1942,45.8,6,38832.0,18,28108.0,380,680,449,7,469.0,0,53.0,1,5,24.0,21.0,0
3,2093,25,1034,63.6,4,3676.0,16,795.0,180,419,319,1,13.0,0,3.0,0,0,1.0,1.0,0
3,2770,12,2093,46.8,4,4833.0,26,2091.0,37,513,344,29,104.0,0,12.0,1,2,6.0,3.0,0
0,1902,507,1998,47.0,4,2604.0,8,769.0,143,623,433,123,78.0,1,21.0,0,0,9.0,0.0,0
0,3800,100,1274,43.9,3,3276.0,9,742.0,7,707,496,6,49.0,0,18.0,0,0,9.0,0.0,0
9,1364,3220,7834,67.3,3,18458.0,24,4577.0,246,61,99,0,105.0,0,41.0,1,0,29.0,0.0,0
4,1382,3437,1028,43.0,2,13137.0,9,730.0,109,676,442,128,36.0,0,18.0,0,2,11.0,0.0,0
1,1454,60,5959,68.3,7,30319.0,14,14393.0,7,565,431,12,99.0,0,27.0,2,4,15.0,0.0,0
1,2117,10,2054,44.1,5,42504.0,15,18769.0,0,724,479,7,118.0,0,33.0,6,2,25.0,18.0,0
7,1172,3222,4937,69.4,11,24511.0,9,4980.0,3,302,251,6,57.0,6,14.0,0,1,6.0,0.0,0
6,1386,3379,5600,61.4,5,7142.0,7,2470.0,3,368,278,0,186.0,0,54.0,1,0,45.0,1.0,0
1,20098,54,1217,44.2,6,27230.0,20,11080.0,149,653,455,153,337.0,0,36.0,2,0,6.0,0.0,0
2,4817,40,4111,48.9,3,11641.0,8,3876.0,18,577,406,18,224.0,0,48.0,1,3,29.0,0.0,0
0,1784,137,1064,43.5,1,2693.0,3,156.0,14,690,462,129,5.0,0,4.0,1,0,3.0,0.0,0
140,1308,132,7095,61.1,11,46318.0,48,10193.0,60,447,324,2,474.0,12,167.0,3,3,152.0,28.0,1
1,1351,126,2932,59.0,229,3462.0,66,956.0,14,493,372,177,78.0,0,35.0,1,0,17.0,0.0,0
0,3842,12,3776,57.7,11,44833.0,10,9658.0,0,330,255,43,131.0,0,24.0,2,9,18.0,1.0,0
9,1696,3180,4160,46.0,112,28830.0,18,3505.0,113,711,527,263,79.0,0,7.0,3,2,2.0,1.0,0
2,3630,145,1285,44.8,4,32323.0,7,11323.0,9,745,466,8,246.0,0,58.0,2,0,34.0,23.0,0
0,4143,41,1655,45.8,10,1554.0,38,47.0,2,694,445,6,4.0,0,1.0,3,10,1.0,1.0,0
1,1828,64,1593,45.9,8,20271.0,46,4344.0,8,742,519,158,84.0,4,34.0,2,0,24.0,0.0,0
3,1912,3510,1395,43.5,7,444868.0,18,74160.0,395,641,409,10,546.0,0,220.0,3,7,161.0,121.0,0
0,2710,111,1071,44.7,1,10448.0,5,1916.0,0,651,527,27,29.0,0,4.0,0,0,3.0,2.0,0
9,1538,3161,8478,66.7,4,36120.0,14,23219.0,211,66,88,8,167.0,0,85.0,1,2,82.0,3.0,0
0,2498,34,7015,67.3,4,5600.0,12,2394.0,2,639,526,0,310.0,0,55.0,66,1,22.0,8.0,0
0,2377,119,1033,44.1,1,12884.0,1,2108.0,5,640,418,3,105.0,0,61.0,2,1,39.0,1.0,0
