COMPONENT_ARBITRARY,SAMPLE_TRANSFER_DAY,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FH2O,FNOX,FOXID,FSO4,FTBN,FE,FUEL,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,SOOTPERCENTAGE,TI,U100,U75,U50,U25,U20,U14,U6,U4,V,V100,V40,ZN,Y_LABEL
COMPONENT3,22,0,0,2,0,0,56,0.0,0,0,5,,,,,,30,,0.0,0.0,0,2,0,0,0,0,1001,0,23,20570,0,3,0,,0,,,,,,,,,0,,133.0,28,0
COMPONENT3,3,0,7,86,0,0,3330,0.0,0,0,15,,,,,,23,,0.0,0.0,0,7,0,0,0,0,905,0,23,8893,0,61,0,,0,,,,,,,,,0,,114.0,1087,0
COMPONENT3,5,0,2,2,0,0,48,0.0,0,0,6,,,,,,115,,0.0,,0,0,1,0,3,0,354,0,56,21060,1,3,1,,0,,,,,,,,,0,,152.3,12,0
COMPONENT2,13,0,1,19,2,0,3174,0.0,0,0,9,,,,,,2,,0.0,0.0,0,6,0,0,2,0,363,0,5,5075,0,0,0,,0,0.0,0.0,2.0,2.0,4.0,13.0,274.0,1181.0,0,,54.4,441,0
COMPONENT2,6,0,1,2,0,0,32,,0,1,181,,,,,,40,,0.0,12.0,0,4,0,0,1,0,472,2,66,1270,2,1,1,,0,0.0,1.0,3.0,72.0,102.0,,,,0,,44.4,522,0
COMPONENT3,3,0,0,13,0,0,159,0.0,0,1,8,,,,,,150,,0.0,0.0,0,0,1,0,2,0,340,0,64,22910,0,21,0,,0,,,,,,,,,0,,133.8,11,0
COMPONENT3,1,0,25,455,0,0,2670,0.0,0,1,4,,,,,,70,,0.0,1.0,1,2,1,0,11,0,2185,0,56,27460,0,22,0,,0,,,,,,,,,0,,170.2,125,1
COMPONENT4,7,0,12,196,0,0,2971,0.0,0,0,367,,,,,,24,,0.0,9.0,0,8,0,4,35,0,1065,3,8,4697,0,4,0,,0,,,,,,,,,0,,71.6,1186,0
COMPONENT1,5,0,0,30,0,0,32,0.0,0,0,2,14.0,8.0,17.0,20.0,10.3,6,0.0,0.0,2.0,0,9,0,197,0,0,891,2,10,4047,0,6,2,0.1,0,,,,,,,,,0,13.8,111.5,1003,0
COMPONENT3,32,0,2,5,0,0,50,0.0,0,2,10,,,,,,134,,0.0,0.0,0,1,2,0,2,0,250,0,139,19350,0,2,0,,0,,,,,,,,,0,,153.5,48,0
COMPONENT3,2,0,0,2,0,0,398,0.0,0,0,1,,,,,,25,,0.0,0.0,0,4,0,2,0,0,365,0,52,21220,0,1,0,,0,,,,,,,,,0,,136.7,44,0
COMPONENT3,8,0,3,17,1,6,120,0.0,1,1,6,,,,,,23,,0.0,,1,6,1,4,0,0,2357,1,17,26632,2,3,2,,0,,,,,,,,,0,,147.6,71,0
COMPONENT1,7,0,26,32,3,0,60,,0,2,2,14.0,7.0,15.0,20.0,9.8,12,0.0,0.0,6.0,0,14,1,214,1,0,1047,2,17,4342,1,9,2,0.2,0,,,,,,,,,0,13.5,109.2,1250,1
COMPONENT1,8,0,0,6,0,0,79,0.0,0,1,40,15.0,7.0,12.0,17.0,8.2,21,0.0,0.0,6.0,0,9,1,24,4,0,878,3,13,4034,2,8,3,0.2,0,,,,,,,,,0,11.9,83.2,1063,0
COMPONENT3,6,0,1,13,1,0,2624,0.0,0,0,1,,,,,,77,,0.0,2.0,0,1,2,0,2,0,612,0,96,27470,0,5,0,,0,,,,,,,,,0,,156.1,33,0
COMPONENT2,7,0,2,10,0,0,127,0.0,0,0,1,,,,,,4,,0.0,1.0,0,3,0,0,1,0,284,2,18,1582,0,4,0,,0,0.0,0.0,44.0,62.0,134.0,478.0,9765.0,24308.0,0,,45.8,428,0
COMPONENT1,4,0,0,1,0,0,35,0.0,0,2,0,13.0,7.0,12.0,18.0,9.0,13,0.0,0.0,1.0,0,307,0,0,2,0,1332,1,8,7607,0,5,0,0.4,0,,,,,,,,,0,13.8,99.3,1507,0
COMPONENT3,4,0,2,392,0,0,2814,0.0,0,0,0,,,,,,161,,0.0,3.0,0,0,2,0,0,0,193,0,950,17800,0,5,0,,0,,,,,,,,,0,,145.9,17,0
COMPONENT3,7,0,4,6,0,0,71,0.0,0,0,3,,,,,,72,,0.0,2.0,0,2,2,2,4,0,1920,0,63,23810,0,5,0,,0,,,,,,,,,0,,160.5,202,0
COMPONENT3,5,0,8,118,0,0,3023,,0,1,2,,,,,,160,,0.0,4.0,0,8,22,150,2,1,1793,1,759,17647,18,12,1,,0,,,,,,,,,0,,107.5,783,0
COMPONENT3,27,0,2,21,0,0,203,0.0,0,14,5,,,,,,1207,,0.0,11.0,0,6,12,1,3,3,511,0,1864,23610,0,358,0,,6,,,,,,,,,0,,148.6,22,0
COMPONENT1,15,0,2,202,0,0,8,0.0,0,2,1,14.0,8.0,17.0,21.0,8.8,16,0.0,0.0,9.0,0,13,0,231,1,0,1111,0,15,5091,0,6,2,0.4,0,,,,,,,,,0,13.6,104.5,1312,0
COMPONENT2,2,0,8,6,4,0,2647,,0,1,134,,,,,,7,,0.0,4.0,0,448,0,0,2,0,934,2,14,7223,0,8,0,,0,0.0,0.0,0.0,2.0,5.0,46.0,541.0,12543.0,0,,39.5,1057,0
COMPONENT3,10,0,2,1,0,0,94,0.0,1,2,5,,,,,,116,,0.0,,0,4,1,3,1,1,786,2,51,31449,2,3,1,,0,,,,,,,,,0,,156.1,19,0
COMPONENT2,4,0,2,1,3,0,26,0.0,0,0,111,,,,,,7,,0.0,0.0,0,1,0,0,0,0,427,3,1,5099,0,9,2,,0,0.0,0.0,0.0,17.0,44.0,113.0,731.0,21270.0,0,,53.4,578,0
COMPONENT1,8,0,1,197,0,0,13,0.0,0,0,6,13.0,6.0,11.0,18.0,7.6,21,0.0,0.0,2.0,0,9,0,223,3,0,1115,0,7,4594,0,6,1,0.2,0,,,,,,,,,0,12.5,95.2,1247,0
COMPONENT3,4,0,2,13,0,0,2889,0.0,0,2,0,,,,,,132,,0.0,0.0,0,0,0,4,1,0,278,0,168,16250,0,10,0,,0,,,,,,,,,0,,153.6,117,0
COMPONENT2,6,0,1,3,0,0,19,,0,0,32,,,,,,23,,0.0,0.0,0,0,0,0,0,0,191,0,23,7520,0,0,0,,0,0.0,0.0,0.0,5.0,12.0,,,,0,,53.6,177,0
COMPONENT3,8,0,1,10,2,0,16,0.0,0,2,0,,,,,,255,,0.0,2.0,0,5,2,0,1,0,322,0,504,13970,0,69,0,,2,,,,,,,,,0,,144.2,16,0
COMPONENT1,4,1,2,0,0,0,3382,1.0,0,0,2,13.0,7.0,10.0,19.0,7.6,37,0.0,0.0,3.0,0,16,0,1,3,0,934,0,12,4530,0,9,0,1.1,0,,,,,,,,,0,14.5,110.2,1161,0
COMPONENT3,11,0,2,18,0,0,34,0.0,0,2,0,,,,,,138,,0.0,2.0,0,0,1,0,0,0,467,0,73,20440,0,10,0,,0,,,,,,,,,0,,139.7,13,0
COMPONENT4,9,0,0,35,0,0,1113,0.0,0,0,197,,,,,,13,,0.0,3.0,0,15,0,4,12,0,1141,0,12,5495,0,3,0,,0,,,,,,,,,0,,73.9,1262,0
COMPONENT1,8,0,1,7,2,0,3192,0.0,0,0,5,17.0,7.0,15.0,20.0,9.4,10,0.0,0.0,2.0,0,144,0,256,3,0,1284,1,16,5683,0,16,1,0.2,0,,,,,,,,,0,14.7,116.9,1464,0
COMPONENT3,9,0,1,21,0,0,109,0.0,0,2,4,,,,,,504,,0.0,0.0,0,2,3,55,4,0,2152,0,39,29040,0,2,0,,0,,,,,,,,,0,,141.8,31,0
COMPONENT1,3,0,2,1,0,0,1996,,0,1,6,14.0,8.0,16.0,22.0,10.6,17,0.0,0.0,7.0,0,15,0,193,5,0,1195,1,15,5327,1,9,1,0.4,0,,,,,,,,,0,14.4,115.2,1358,0
COMPONENT4,2,0,2,56,0,0,2977,0.0,0,0,0,,,,,,14,,0.0,2.0,0,193,0,29,7,0,1026,0,10,3624,0,5,0,,0,,,,,,,,,0,,70.4,1074,0
COMPONENT3,11,0,3,138,0,0,2697,0.0,0,1,2,,,,,,193,,0.0,0.0,0,0,2,4,4,0,2347,0,19,35400,0,3,0,,0,,,,,,,,,0,,137.0,42,0
COMPONENT4,6,0,2,8,0,0,3392,0.0,0,0,1,,,,,,12,,0.0,,0,59,0,0,8,0,1070,0,18,4461,0,3,0,,0,,,,,,,,,0,,69.4,1175,0
COMPONENT3,6,0,6,85,1,0,2425,0.0,0,11,37,,,,,,333,,0.0,,0,2,6,4,0,3,824,0,12413,12842,0,68,0,,2,,,,,,,,,0,,95.7,238,0
COMPONENT1,2,0,2,9,0,0,230,1.0,0,2,8,16.0,11.0,14.0,25.0,10.9,36,0.0,0.0,15.0,0,90,1,11,1,0,1361,4,18,7048,0,5,3,1.4,0,,,,,,,,,0,14.1,113.0,1656,0
COMPONENT1,14,0,2,22,0,0,1976,0.0,0,0,4,16.0,7.0,15.0,22.0,8.8,10,0.0,0.0,4.0,0,109,0,186,3,0,1137,0,10,4537,0,14,1,0.7,0,,,,,,,,,0,14.7,117.2,1253,0
COMPONENT3,8,0,1,219,0,0,9,0.0,0,0,0,,,,,,44,,0.0,0.0,0,1,0,0,0,0,959,0,36,20070,0,3,0,,0,,,,,,,,,0,,129.2,7,0
COMPONENT4,12,0,9,8,0,0,2727,0.0,0,0,108,,,,,,15,,0.0,6.0,0,353,0,136,3,0,897,0,24,4000,0,5,0,,0,,,,,,,,,0,,81.5,1007,0
COMPONENT1,13,0,6,163,0,0,3624,0.0,0,6,135,14.0,9.0,15.0,24.0,10.3,65,0.0,0.0,3.0,0,471,1,189,3,0,933,9,14,3708,0,23,8,1.4,0,,,,,,,,,0,15.2,126.2,1193,0
COMPONENT4,2,0,0,0,0,0,13,0.0,0,0,254,,,,,,19,,0.0,3.0,0,6,3,2,14,0,1000,1,10,7057,0,1,0,,0,,,,,,,,,0,,66.4,1020,0
COMPONENT3,4,0,0,3,0,0,61,0.0,0,4,5,,,,,,116,,0.1,3.0,1,2,4,2,7,2,2082,1,1368,22800,1,11,0,,0,,,,,,,,,0,,158.3,64,0
COMPONENT3,1,0,3,0,0,0,3295,0.0,0,1,0,,,,,,137,,0.0,2.0,0,2,4,0,4,0,462,0,269,15240,0,4,0,,0,,,,,,,,,0,,134.2,43,0
COMPONENT2,2,0,0,3,0,0,37,0.0,0,0,7,,,,,,2,,0.0,0.0,0,0,0,0,0,0,278,0,9,3084,0,3,0,,0,0.0,0.0,3.0,3.0,5.0,19.0,428.0,1304.0,0,,58.1,382,1
COMPONENT3,3,0,628,123,6,0,183,0.0,0,2,6,,,,,,91,,0.0,0.0,0,6,2,5,0,0,1262,0,25,20760,0,2,0,,0,,,,,,,,,0,,129.9,45,1
COMPONENT4,5,0,6,147,1,0,3155,0.0,0,0,0,,,,,,23,,0.0,4.0,0,275,0,14,2,0,1342,0,14,7977,0,4,0,,0,,,,,,,,,0,,77.4,1506,0
COMPONENT3,42,0,1,8,0,0,2437,0.0,0,3,0,,,,,,281,,0.0,0.0,0,20,2,1,1,0,233,0,301,16700,0,6,0,,0,,,,,,,,,0,,147.6,130,0
COMPONENT3,7,0,2,167,2,0,28,0.0,0,1,3,,,,,,156,,0.0,1.0,0,7,2,0,2,0,579,0,2432,22830,1,14,1,,0,,,,,,,,,0,,154.2,14,0
COMPONENT1,4,0,4,16,0,0,3424,0.0,0,2,11,10.0,6.0,10.0,17.0,8.6,49,0.0,0.0,5.0,0,255,2,2,2,0,948,7,28,3745,0,9,11,0.6,0,,,,,,,,,0,13.0,86.5,1187,0
COMPONENT3,5,0,0,4,0,0,63,0.0,0,0,0,,,,,,31,,0.0,1.0,0,0,2,0,1,0,996,0,27,19860,0,0,0,,0,,,,,,,,,0,,130.9,9,0
COMPONENT1,2,0,5,130,0,0,3200,0.0,0,2,3,12.0,7.0,12.0,23.0,8.7,23,0.0,0.0,,0,14,0,12,0,1,903,5,20,11123,2,10,4,0.3,0,,,,,,,,,0,12.9,90.5,1060,0
COMPONENT3,2,0,77,2,2,0,73,0.0,0,2,5,,,,,,209,,0.0,1.0,0,0,2,1,0,0,294,0,118,12510,0,4,0,,0,,,,,,,,,0,,163.2,47,1
COMPONENT2,2,0,2,23,0,0,184,0.0,0,3,3,,,,,,16,,0.0,0.0,0,3,0,1,0,0,259,0,21,9365,0,2,0,,0,2.0,3.0,29.0,50.0,52.0,186.0,4410.0,20490.0,0,,68.5,321,0
COMPONENT1,5,0,10,94,0,0,3022,0.0,0,2,24,16.0,9.0,17.0,26.0,8.8,76,0.0,0.0,9.0,0,10,0,3,4,0,984,17,11,8150,0,5,4,0.8,0,,,,,,,,,0,13.3,97.5,1187,0
COMPONENT2,5,0,2,0,0,0,3495,0.0,0,0,6,,,,,,8,,0.0,,0,10,0,0,1,0,232,0,22,4898,0,9,0,,0,0.0,0.0,1.0,3.0,4.0,9.0,179.0,18478.0,0,,63.3,257,0
COMPONENT2,10,0,3,3,2,0,7,0.0,0,0,211,,,,,,99,,0.0,0.0,0,3,1,0,0,0,478,2,18,1388,0,2,0,,0,0.0,0.0,0.0,86.0,326.0,1018.0,12781.0,14579.0,0,,44.8,672,0
COMPONENT3,5,0,1,18,0,0,3428,0.0,0,3,3,,,,,,72,,0.0,2.0,0,9,3,13,13,0,1082,0,117,6225,1,14,0,,0,,,,,,,,,0,,68.3,1268,0
COMPONENT1,9,0,0,84,0,0,7,0.0,0,0,1,18.0,6.0,10.0,19.0,8.5,8,0.0,0.0,0.0,0,10,0,65,3,0,983,4,14,9816,0,8,0,0.1,0,,,,,,,,,0,13.5,105.1,1149,0
COMPONENT1,8,0,2,2,0,0,2024,0.0,0,2,9,14.0,8.0,16.0,21.0,9.4,25,0.0,0.0,2.0,0,13,0,206,3,0,1050,2,8,4327,0,5,2,0.7,0,,,,,,,,,0,14.1,113.4,1266,0
COMPONENT3,14,0,0,163,0,0,6,0.0,0,0,0,,,,,,11,,0.0,2.0,0,0,0,0,1,0,932,0,32,19180,0,0,0,,0,,,,,,,,,0,,132.8,7,0
COMPONENT2,11,0,2,1,2,0,28,0.0,0,1,25,,,,,,33,,0.0,1.0,0,3,0,1,0,0,267,0,21,6380,0,2,0,,0,0.0,0.0,0.0,0.0,1.0,4.0,490.0,20344.0,0,,68.4,318,0
COMPONENT1,8,0,3,77,0,0,2347,0.0,0,1,8,14.0,6.0,11.0,19.0,10.2,42,0.0,0.0,3.0,0,505,2,176,4,0,900,4,13,3352,0,15,3,0.4,0,,,,,,,,,0,14.9,125.9,1055,1
COMPONENT2,7,0,14,172,0,0,2693,,0,0,167,,,,,,22,,0.0,10.0,0,4,0,2,1,0,416,3,38,1885,3,2,1,,0,0.0,0.0,0.0,4.0,6.0,,,,0,,44.6,515,0
COMPONENT1,2,0,3,5,3,0,1175,0.0,0,0,0,9.0,5.0,10.0,19.0,9.0,5,0.0,0.0,,0,8,0,2,3,0,1165,0,12,3906,0,3,0,0.2,0,,,,,,,,,0,12.8,94.9,1267,0
COMPONENT4,4,0,0,212,0,0,2601,1.0,0,1,1,,,,,,19,,0.0,2.0,0,215,1,2,2,0,1115,0,21,7825,1,4,0,,1,,,,,,,,,0,,81.9,1071,0
COMPONENT2,11,0,4,3,0,0,38,,0,1,81,,,,,,15,,0.0,6.0,0,5,0,1,1,0,416,1,39,4734,1,2,0,,0,0.0,0.0,1.0,26.0,63.0,,,,0,,53.1,550,0
COMPONENT3,5,0,0,2,0,0,58,0.0,0,0,1,,,,,,85,,0.0,0.0,0,3,2,1,4,0,1872,0,109,22900,0,0,2,,0,,,,,,,,,0,,124.4,109,0
COMPONENT3,5,0,1,15,0,0,148,0.0,0,3,14,,,,,,192,,0.0,0.0,0,2,2,0,0,0,954,0,1911,19390,0,26,0,,0,,,,,,,,,0,,123.1,16,0
COMPONENT3,9,0,2,448,0,0,3211,0.0,0,0,25,,,,,,85,,0.0,5.0,0,0,2,0,2,0,724,0,63,17960,0,2,0,,0,,,,,,,,,0,,139.5,30,0
COMPONENT3,6,0,1,19,0,0,136,0.0,0,1,0,,,,,,64,,0.0,2.0,0,0,1,0,3,0,937,0,76,18410,0,1,1,,0,,,,,,,,,0,,133.2,14,0
COMPONENT3,2,0,2,18,1,0,151,0.0,0,2,41,,,,,,324,,0.0,0.0,0,9,5,9,0,0,1116,1,83,4575,0,12,1,,0,,,,,,,,,0,,55.5,1079,0
COMPONENT2,5,0,6,329,0,0,2803,0.0,0,2,2,,,,,,10,,0.0,0.0,0,8,0,0,2,0,307,0,29,7819,0,2,0,,0,0.0,0.0,5.0,46.0,62.0,124.0,629.0,1816.0,0,,61.9,408,0
COMPONENT1,5,0,1453,160,11,0,214,0.0,0,0,2,16.0,8.0,16.0,20.0,10.6,7,0.0,0.0,3.0,0,15,0,271,4,0,1212,2,8,4507,0,7,3,0.0,0,,,,,,,,,0,13.8,111.0,1515,1
COMPONENT3,5,0,8,124,1,0,3182,0.0,0,1,1,,,,,,53,,0.0,,0,2,1,0,0,1,331,0,245,13208,1,7,0,,0,,,,,,,,,0,,156.1,53,0
COMPONENT2,9,0,1,187,0,0,24,0.0,0,0,3,,,,,,6,,0.0,0.0,0,3,0,0,0,0,124,0,11,7998,0,11,0,,0,0.0,0.0,1.0,309.0,482.0,1271.0,16419.0,21427.0,0,,63.2,129,0
COMPONENT1,2,0,4,177,0,0,3664,0.0,0,3,53,13.0,7.0,14.0,21.0,8.6,41,0.0,0.0,5.0,0,105,1,39,5,0,1039,2,27,4094,0,11,5,0.4,0,,,,,,,,,0,13.5,102.7,1282,0
COMPONENT3,2,0,0,16,0,0,143,0.0,0,14,4,,,,,,1621,,0.0,2.0,0,6,22,7,0,3,981,0,903,7076,0,28,0,,0,,,,,,,,,0,,59.5,988,0
COMPONENT4,10,0,0,146,0,0,29,0.0,0,0,61,,,,,,14,,0.0,4.0,0,9,0,38,7,0,981,0,8,4700,0,8,0,,0,,,,,,,,,0,,81.4,1142,1
COMPONENT1,7,0,2,99,0,0,77,,0,3,62,23.0,12.0,18.0,28.0,10.4,129,0.0,0.0,4.0,0,127,2,246,5,1,1230,19,23,5645,2,16,21,1.6,0,,,,,,,,,0,16.0,133.3,1561,0
COMPONENT1,11,0,8,9,0,0,3416,0.0,2,2,4,16.0,7.0,13.0,22.0,8.3,24,0.0,0.0,2.0,0,18,2,42,4,0,965,2,22,10500,2,9,1,0.8,0,,,,,,,,,0,12.5,86.5,1070,0
COMPONENT3,4,0,1,114,0,0,3903,0.0,0,0,0,,,,,,61,,0.0,,0,0,1,130,6,0,1849,0,66,22350,0,15,0,,0,,,,,,,,,0,,176.5,45,0
COMPONENT2,2,0,1,8,0,0,56,0.0,0,0,3,,,,,,5,,0.0,1.0,0,2,0,0,0,0,366,0,5,3676,0,2,0,,0,0.0,0.0,1.0,18.0,35.0,57.0,898.0,6121.0,0,,50.9,541,0
COMPONENT1,8,0,0,142,2,0,10,0.0,0,2,3,13.0,9.0,17.0,21.0,8.1,33,0.0,0.0,2.0,0,252,0,0,1,0,908,2,17,4390,0,9,3,0.8,0,,,,,,,,,0,12.7,86.7,1114,0
COMPONENT2,6,0,0,6,0,0,46,0.0,0,1,11,,,,,,23,,0.0,4.0,0,7,0,0,1,0,320,0,18,2259,0,43,0,,0,0.0,0.0,0.0,0.0,1.0,8.0,1069.0,38539.0,0,,56.9,420,0
COMPONENT2,6,0,8,167,0,0,3303,0.0,0,0,11,,,,,,2,,0.0,2.0,0,0,0,0,1,0,436,0,4,1164,0,0,0,,0,0.0,0.0,0.0,3.0,15.0,271.0,2020.0,9781.0,0,,45.3,672,0
COMPONENT4,4,0,0,20,0,0,3465,0.0,0,0,0,,,,,,9,,0.0,,0,19,0,0,3,0,1039,0,18,3857,0,3,0,,0,,,,,,,,,0,,78.8,1007,0
COMPONENT3,22,0,4,185,1,0,3479,0.0,0,1,0,,,,,,99,,0.0,0.0,0,2,1,0,2,0,1129,0,243,21110,0,30,0,,0,,,,,,,,,0,,122.8,57,0
COMPONENT3,2,0,0,0,0,0,55,0.0,0,0,36,,,,,,39,,0.0,0.0,0,13,0,0,4,0,878,0,44,5133,0,47,2,,0,,,,,,,,,0,,109.3,1056,0
COMPONENT3,3,0,1,0,2,0,37,0.0,0,5,0,,,,,,170,,0.0,,0,13,2,0,4,0,300,0,919,22830,0,96,3,,0,,,,,,,,,0,,128.9,30,0
COMPONENT3,2,0,7,136,1,0,3381,0.0,0,2,2,,,,,,57,,0.0,1.0,0,0,1,4,1,0,2341,1,1118,26360,1,3,0,,0,,,,,,,,,0,,148.0,31,0
COMPONENT3,29,1,0,1,0,0,12,0.0,1,17,74,,,,,,1006,,0.0,,0,8,12,3,0,5,2216,4,3440,31290,9,325,3,,4,,,,,,,,,0,,144.2,60,0
COMPONENT3,1,0,7,2,0,0,15,0.0,0,6,2,,,,,,670,,0.2,15.0,0,8,6,0,7,5,189,0,3385,19530,0,282,0,,3,,,,,,,,,0,,181.8,15,0
COMPONENT4,4,0,2,2,0,0,107,,0,0,577,,,,,,19,,0.0,10.0,0,12,1,181,7,0,1183,1,13,5249,1,8,1,,0,,,,,,,,,0,,79.4,1242,0
COMPONENT3,6,0,4,138,0,0,3243,0.0,0,1,0,,,,,,68,,0.0,2.0,0,0,0,0,0,0,884,0,151,18950,0,2,0,,0,,,,,,,,,0,,132.1,13,0
COMPONENT3,3,0,0,2,0,0,52,0.0,0,0,0,,,,,,22,,0.0,2.0,0,10,0,0,0,0,198,0,24,18680,0,3,0,,0,,,,,,,,,0,,150.8,35,0
COMPONENT2,4,0,3,390,0,0,3261,0.0,0,0,49,,,,,,12,,0.0,2.0,0,2,0,0,1,0,408,1,11,1870,0,9,0,,0,0.0,0.0,1.0,1.0,2.0,10.0,401.0,10733.0,0,,46.6,627,0
COMPONENT4,4,0,3,7,0,0,3566,0.0,0,0,6,,,,,,27,,0.0,5.0,0,7,4,0,23,0,941,0,18,4141,0,4,0,,0,,,,,,,,,0,,57.4,1066,0
COMPONENT3,1,0,1,8,0,0,3284,0.0,0,6,2,,,,,,396,,0.0,,0,12,4,0,4,0,227,0,2399,26280,0,368,0,,7,,,,,,,,,0,,124.7,26,0
COMPONENT1,3,0,4,213,0,0,2954,0.0,0,2,15,15.0,6.0,12.0,17.0,7.1,23,0.0,0.0,4.0,0,10,3,4,5,0,948,10,10,3980,0,12,15,0.0,0,,,,,,,,,0,11.6,85.1,1053,0
COMPONENT3,3,0,0,0,0,0,135,0.0,0,0,4,,,,,,12,,0.0,0.0,0,1,0,0,0,0,842,0,47,17140,0,0,0,,0,,,,,,,,,0,,132.5,8,0
COMPONENT1,4,0,22,10,0,0,403,0.0,0,0,5,11.0,7.0,12.0,20.0,7.9,28,0.0,0.0,1.0,0,10,0,0,12,0,944,2,18,7987,0,6,1,0.4,0,,,,,,,,,0,12.3,85.5,1161,0
COMPONENT1,7,0,0,0,0,0,76,,0,1,2,11.0,7.0,12.0,20.0,10.6,15,0.0,0.0,3.0,0,9,0,1,0,0,981,1,4,10971,0,5,0,0.7,0,,,,,,,,,0,13.2,94.5,1105,0
COMPONENT3,7,0,2,110,0,0,3114,0.0,0,7,3,,,,,,2079,,0.3,1.0,0,3,15,18,7,1,2691,0,88,44770,0,6,0,,0,,,,,,,,,0,,146.6,24,0
COMPONENT3,4,0,4,471,0,0,3843,0.0,0,0,22,,,,,,74,,0.0,2.0,0,7,0,0,1,0,925,0,58,3607,0,8,0,,0,,,,,,,,,0,,63.2,1140,0
COMPONENT2,5,0,2,3,0,0,3300,0.0,0,0,0,,,,,,5,,0.0,0.0,0,5,0,0,0,0,359,0,10,6352,0,3,0,,0,0.0,0.0,7.0,11.0,24.0,85.0,1876.0,24032.0,0,,67.9,482,0
COMPONENT3,2,0,7,96,1,0,3033,0.0,0,3,8,,,,,,220,,0.0,2.0,0,10,5,10,14,0,1170,0,195,9677,0,25,0,,0,,,,,,,,,0,,70.2,1477,0
COMPONENT3,4,0,3,464,0,0,3960,0.0,0,1,6,,,,,,76,,0.0,0.0,0,0,0,0,0,0,989,0,57,18720,0,1,0,,0,,,,,,,,,0,,125.8,12,0
COMPONENT3,6,0,0,0,0,0,110,0.0,0,3,0,,,,,,233,,0.0,5.0,0,3,3,0,4,0,1490,0,342,25120,0,126,0,,2,,,,,,,,,0,,150.3,21,0
COMPONENT3,50,0,1,7,0,0,733,0.0,0,10,48,,,,,,468,,0.0,,0,3,8,1,0,2,634,0,173,18567,1,7,0,,0,,,,,,,,,0,,140.5,44,1
COMPONENT3,20,0,0,1,2,0,21,0.0,0,0,0,,,,,,77,,0.0,0.0,0,2,0,0,0,0,595,0,438,18410,0,12,0,,0,,,,,,,,,0,,131.5,29,0
