AL,ANONYMOUS_1,CA,B,ZN,P,MO,FTBN,S,PQINDEX,FE,MG,V40,V100,FH2O,NA,K,SOOTPERCENTAGE,ANONYMOUS_2,CU,Y_LABEL
228,5411,368,158,1095,868,153,9.9,3744,15,21,372,131.0,16.0,13.0,2,4.0,1.1,200,2,1
6,3616,2866,4,1343,1062,2,8.1,13710,7,18,14,94.3,13.3,15.0,4,2.0,0.1,200,6,0
2,1355,2425,4,1227,1024,14,9.2,7474,14,18,13,103.2,13.8,18.0,0,23.0,0.4,550,13,0
0,4929,57,2,962,825,159,10.4,3626,7,20,412,126.1,15.2,15.0,0,4.0,0.7,200,2,0
4,1542,2898,4,1172,1003,0,7.8,4524,21,33,11,95.4,13.1,12.0,6,7.0,1.4,200,3,0
3,1632,16,2,1226,1062,16,9.4,6613,14,10,15,92.9,12.4,12.0,1,3.0,0.3,550,1,0
3,1368,2446,2,1342,1139,255,10.7,4687,7,12,29,108.5,13.6,14.0,3,2.0,0.7,200,1,0
0,1962,183,3,1115,946,1,8.3,8549,2,19,10,87.2,12.6,14.0,4,2.0,0.2,200,2,0
3,4466,12,2,1195,968,223,9.3,3534,7,9,11,114.8,14.3,14.0,0,3.0,0.4,200,0,0
1,7608,3535,1,1202,991,0,7.3,4689,5,38,16,100.9,13.7,16.0,3,2.0,2.4,508,14,0
0,2005,235,172,1072,931,0,9.6,11670,11,6,8,100.9,13.8,12.0,3,3.0,0.0,200,0,0
2,1732,30,133,1150,1035,12,8.2,3749,11,42,8,81.2,11.4,11.0,3,2.0,0.6,200,5,1
0,4269,21,2,1223,1071,4,8.6,4976,11,42,13,97.7,13.3,10.0,6,4.0,0.4,200,24,0
1,1766,17,4,1215,985,216,10.2,3632,16,16,7,132.1,15.5,14.0,0,6.0,0.4,200,2,1
2,2129,2848,165,1130,987,41,8.2,9348,17,42,10,128.5,15.3,15.0,3,4.0,1.4,200,3,0
3,2771,24,2,1488,1268,249,9.4,5239,1,19,14,115.3,14.5,19.0,2,4.0,0.6,200,3,0
2,2662,57,2,973,809,0,7.7,3432,18,24,10,109.6,14.3,11.0,3,0.0,0.8,200,0,0
1,1996,7,0,1268,1118,0,8.0,6995,22,29,258,100.4,14.0,17.0,0,3.0,1.4,200,2,0
2,5453,3071,17,1121,956,0,9.7,11360,6,8,10,94.5,13.9,9.0,1,1.0,0.1,200,1,0
0,1485,125,20,1219,1021,23,7.9,6733,20,40,25,87.0,12.2,17.0,6,6.0,0.3,200,35,0
1,1424,11,2,1065,921,159,10.2,4399,13,20,412,119.1,14.7,13.0,2,3.0,0.6,200,3,0
3,6660,3181,3,1355,1080,242,8.9,4738,15,14,13,110.5,13.6,14.0,2,2.0,0.5,200,2,0
4,1352,2814,92,1184,998,205,9.0,4483,16,19,14,119.8,14.4,15.0,2,3.0,0.1,200,2,0
0,1333,59,0,1433,1229,2,10.3,10240,12,45,13,99.1,13.7,13.0,6,4.0,0.3,200,4,0
0,1341,25,137,1519,1167,262,10.5,4530,15,27,15,120.4,14.7,14.0,4,2.0,0.5,200,9,1
1,2417,68,57,1146,945,175,10.1,3634,7,53,458,122.8,15.0,15.0,4,11.0,1.0,200,9,0
4,1485,3145,107,1235,1066,4,9.4,4925,12,30,250,94.5,13.2,11.0,2,1.0,0.1,200,13,0
3,1174,2729,2,1442,1234,254,11.0,4484,2,13,15,119.8,14.5,188.0,5,2.0,0.4,200,2,0
8,4834,66,38,969,843,22,7.4,3677,3,21,20,95.8,12.9,11.0,5,8.0,0.2,540,32,0
2,3634,3383,160,1101,970,0,8.3,4557,5,14,10,102.2,13.9,9.0,4,1.0,1.4,608,2,0
7,1306,232,82,1289,1112,7,8.5,6990,13,43,12,103.1,13.4,14.0,4,0.0,0.3,506,4,0
6,1891,2763,217,1286,1117,0,8.1,13240,14,9,15,97.0,13.4,16.0,4,2.0,0.0,200,1,0
3,1886,3303,141,1302,1240,54,9.7,10790,12,24,12,84.0,11.1,10.0,3,0.0,0.6,200,3,0
2,1342,3400,91,1178,975,9,9.8,4171,9,39,16,93.8,12.5,13.0,5,4.0,0.3,542,62,0
1,2312,124,6,1119,893,43,8.4,6630,9,18,17,94.9,13.2,13.0,2,18.0,0.5,1512,6,0
0,2005,145,18,1104,984,1,8.8,6005,5,29,13,98.1,13.5,11.0,4,1.0,0.4,200,6,0
2,2080,3072,392,981,850,38,8.4,8911,9,10,9,104.8,14.8,18.0,2,2.0,1.4,200,7,0
0,2034,9,1,1027,930,42,8.2,8482,5,11,8,92.9,13.4,14.0,0,0.0,0.6,529,13,0
6,3095,4368,540,893,816,41,8.3,6156,6,11,8,97.6,13.2,14.0,17,4.0,0.3,200,2,0
2,1686,161,7,1423,1146,222,10.2,4613,7,13,9,120.4,14.7,14.0,3,6.0,0.3,550,1,0
6,1161,2474,1,1083,851,190,9.5,3464,10,11,421,119.6,14.4,13.0,4,5.0,0.4,361,2,0
1,1371,141,18,1128,992,41,8.3,7417,13,5,16,99.5,13.8,19.0,4,3.0,0.0,571,0,0
0,2026,2901,3,1346,1003,1,7.5,5108,8,22,17,96.0,12.9,11.0,2,1.0,0.9,200,6,0
0,1381,15,2,1416,1160,274,8.9,4878,27,12,15,125.2,14.4,14.0,2,2.0,0.4,375,0,0
0,6649,31,0,1311,1125,0,8.7,7401,19,23,11,95.7,13.0,11.0,4,2.0,0.4,1630,2,0
1,2046,163,16,851,753,92,6.6,10500,9,5,6,102.8,12.9,14.0,0,4.0,0.1,200,1,0
2,4643,3663,0,1117,940,0,9.0,4253,7,16,7,94.7,13.0,10.0,0,2.0,0.6,398,2,0
4,3774,30,4,1101,961,0,7.6,4326,6,23,12,89.1,12.3,12.0,3,3.0,0.8,200,2,0
3,3914,2101,3,1312,1117,0,9.5,5051,9,9,281,97.9,13.6,14.0,0,2.0,0.0,200,1,1
3,1331,28,3,1069,872,17,7.8,3803,14,27,12,95.1,12.8,10.0,8,2.0,0.2,389,30,0
6,1525,3176,99,1220,1036,3,9.5,5856,2,43,21,98.6,13.5,13.0,4,4.0,0.6,375,40,0
8,1525,3322,22,1105,1011,61,9.1,10120,15,6,8,110.2,14.5,14.0,2,3.0,0.1,200,3,0
2,1859,111,10,1076,902,168,12.0,3947,12,141,429,126.2,16.0,169.0,3,3.0,4.2,200,29,0
0,5639,11,12,1047,891,41,7.9,6637,7,9,10,88.3,12.3,18.0,0,3.0,0.2,200,0,0
0,1683,215,9,1207,1012,208,9.0,4449,12,42,13,107.0,14.4,16.0,5,3.0,1.4,200,19,0
2,2088,3656,9,995,832,0,8.9,3763,7,24,10,92.2,12.6,9.0,1,3.0,0.9,393,3,0
0,2166,32,195,1302,1122,52,7.0,7097,34,99,14,128.3,15.6,20.0,3,4.0,2.5,200,34,0
2,1650,33,0,1244,998,19,8.2,4292,8,39,11,95.7,13.0,14.0,26,2.0,0.2,200,73,1
0,1970,92,7,1088,925,166,10.2,3848,10,10,434,119.8,14.4,15.0,3,3.0,0.0,200,3,0
0,1695,298,4,1003,981,74,8.3,8967,18,6,9,108.5,14.1,18.0,3,11.0,0.1,895,1,0
12,7909,4462,511,1457,1053,241,9.6,5714,6,6,16,112.7,13.8,16.0,0,2.0,0.0,200,2,0
1,1322,2425,8,1308,1105,209,8.9,4923,19,17,14,108.7,13.7,17.0,2,3.0,0.8,200,4,0
6,2125,2764,125,1185,949,28,6.1,4364,11,70,13,94.7,12.6,13.0,5,3.0,0.8,200,118,0
5,1000,3254,6,1150,1017,29,8.1,6066,18,19,10,64.4,10.3,13.0,1,4.0,0.5,200,1,0
6,1247,3198,9,1150,919,192,9.8,3613,3,33,444,130.4,16.1,17.0,3,3.0,0.5,447,1,0
1,1698,242,0,1362,1225,234,10.0,4749,2,11,14,112.7,14.0,15.0,4,2.0,0.1,200,4,0
0,5545,9,4,1112,864,140,10.4,3922,10,52,369,112.8,14.7,15.0,3,5.0,1.4,200,6,0
4,1824,3402,167,1369,1202,1,8.5,8585,3,24,13,85.3,12.4,16.0,5,3.0,0.3,200,8,0
0,3795,0,2,1370,1129,258,8.6,4860,19,29,14,114.5,14.2,18.0,1,4.0,1.3,200,2,1
1,1687,132,19,1298,1080,3,6.4,5531,10,71,17,99.1,13.3,14.0,7,5.0,0.5,200,69,0
0,1713,14,146,870,768,14,5.5,10290,24,32,17,92.9,12.1,13.0,4,0.0,1.4,552,5,0
1,1812,12,8,1319,1156,232,9.2,4814,7,33,36,114.3,14.2,15.0,3,4.0,0.8,200,3,0
2,4801,22,2,1290,995,239,9.0,3996,22,10,11,98.4,12.8,15.0,2,1.0,0.4,200,2,0
3,5764,2037,2,1344,1142,0,8.2,7015,17,30,281,95.2,13.6,16.0,1,2.0,0.6,200,3,0
4,1830,3490,384,1187,1036,48,8.5,10160,5,19,15,98.2,14.1,19.0,2,0.0,1.7,375,3,0
1,4749,2,3,1405,1157,237,9.1,5167,8,13,12,113.4,14.3,15.0,3,16.0,0.1,200,3,0
2,1525,3249,2,1009,885,41,8.7,5433,22,25,11,102.8,13.0,19.0,2,5.0,0.3,200,5,0
2,2528,3015,5,1135,949,137,9.7,4283,13,31,333,101.6,13.7,15.0,3,2.0,0.8,200,60,0
0,2226,17,2,1156,955,11,9.8,4473,18,59,10,85.9,12.7,15.0,7,5.0,0.5,200,100,0
1,3156,21,135,1172,1036,12,9.1,4215,9,34,36,102.1,13.4,9.0,10,4.0,0.3,200,34,0
4,2441,158,161,1171,1007,0,8.8,6185,3,9,7,99.0,13.5,12.0,4,0.0,0.2,550,2,0
3,1639,2789,137,1317,1094,220,10.8,4401,10,24,530,122.3,14.5,19.0,4,16.0,0.5,200,7,0
2,2134,2742,11,1287,1120,247,9.2,4460,6,15,12,112.0,14.3,16.0,0,5.0,0.7,200,3,0
2,1695,30,5,944,812,159,10.3,3263,5,10,424,117.5,14.4,16.0,0,4.0,0.1,200,2,0
0,4059,67,1,1231,1037,196,9.5,3972,5,27,485,116.2,14.4,12.0,3,5.0,0.2,200,5,0
1,4325,55,0,1528,1264,131,10.5,9352,7,20,22,101.9,14.5,13.0,3,15.0,0.5,200,4,1
2,2436,58,2,1328,1072,224,11.2,4588,11,31,10,119.6,14.8,19.0,1,6.0,1.8,200,7,0
0,5668,24,2,999,821,1,8.8,8136,9,23,11,94.9,13.4,10.0,4,4.0,0.5,200,4,0
3,1000,3556,476,1104,1169,46,9.0,7959,5,4,10,100.7,13.7,15.0,4,0.0,0.2,375,2,0
0,4372,4,173,974,878,198,9.1,3631,5,27,16,118.2,14.6,13.0,2,3.0,1.1,200,2,0
0,2034,17,3,1236,1151,196,9.8,6182,34,37,101,124.7,15.3,16.0,4,3.0,0.2,529,4,0
4,1595,2934,17,977,746,5,7.4,3276,7,54,70,70.4,11.4,9.0,4,4.0,1.2,570,6,0
1,1357,23,1,485,407,36,5.2,4653,5,8,3,104.0,13.0,10.0,1,1.0,0.1,200,2,0
2,2941,87,200,1134,1009,0,9.0,7138,27,42,11,74.0,11.4,12.0,8,12.0,1.0,200,2,0
0,9672,8,5,1401,1190,0,8.7,6491,11,13,268,97.1,13.8,12.0,3,1.0,0.3,200,0,0
1,1739,412,45,1261,1080,3,9.1,6242,18,11,20,111.0,13.9,16.0,4,2.0,0.2,200,3,0
4,2351,6,2,1024,885,37,8.0,10450,8,12,8,116.6,16.2,31.0,0,4.0,2.7,200,3,0
4,3128,1708,112,1130,936,1,8.4,3146,14,38,263,87.8,13.2,12.0,3,6.0,0.4,200,27,0
1,1632,99,7,1394,1190,135,9.4,6671,7,6,14,105.2,13.9,15.0,2,3.0,0.1,832,0,0
2,7367,94,6,1465,1220,250,9.5,5286,8,21,35,109.7,13.9,14.0,3,2.0,0.5,200,3,0
1,1339,88,138,1195,1052,4,9.1,10330,12,29,12,91.7,12.7,12.0,7,5.0,0.6,200,3,0
15,3788,32,4,1099,928,42,8.2,9813,12,16,9,105.0,14.5,18.0,2,2.0,1.3,200,9,0
1,2052,52,145,1245,1040,158,10.0,5598,7,26,367,121.6,15.3,12.0,3,3.0,0.6,550,3,0
5,1189,2657,20,1175,977,33,7.2,4076,11,19,9,93.5,12.4,12.0,5,4.0,0.0,200,40,0
260,2443,44,169,1041,867,159,9.7,3502,7,15,397,115.7,14.4,12.0,3,2.0,0.1,200,4,1
4,1639,2743,193,1215,961,21,9.9,5049,9,83,16,106.2,14.0,13.0,8,12.0,1.1,200,43,0
5,2607,3668,56,1021,973,28,9.3,2798,8,22,10,95.7,12.7,8.0,5,0.0,1.0,410,1,0
0,1725,125,20,1203,924,2,8.3,3811,6,35,239,89.9,13.4,11.0,2,3.0,0.4,1600,13,0
0,2530,7,175,1142,995,10,8.1,3623,26,26,12,101.5,13.3,10.0,4,4.0,0.2,200,13,0
0,2893,42,0,1449,1200,247,8.9,4718,4,37,14,111.0,14.1,18.0,3,7.0,0.9,200,7,0
7,1800,5,3,1266,1045,26,9.9,8739,26,20,10,98.1,13.5,13.0,3,1.0,0.5,200,4,0
1,5318,43,2,1012,843,1,7.6,2276,7,23,23,95.5,13.3,11.0,2,4.0,0.6,200,0,0
2,1739,19,1,1029,930,1,7.5,3880,6,33,31,90.1,12.7,12.0,2,8.0,0.7,200,6,0
12,7979,28,8,1831,1452,3,9.0,7764,11,30,883,96.1,12.9,13.0,3,0.0,0.2,200,6,1
0,8830,3672,138,1198,1051,226,7.7,4044,16,36,27,113.5,14.5,33.0,0,3.0,3.1,659,8,0
6,2621,3286,153,1164,982,5,8.3,10220,15,33,13,97.4,13.7,16.0,4,1.0,2.2,200,3,0
1,1894,92,8,1076,957,0,7.8,4346,5,14,18,93.3,12.8,9.0,3,1.0,0.7,379,2,0
4,3074,112,0,1425,1181,1,8.4,7138,11,13,290,94.9,13.5,13.0,2,0.0,0.4,200,2,0
2,2662,34,2,879,703,0,5.5,4996,14,12,9,36.1,7.3,10.0,1,2.0,0.4,200,0,0
1,1310,18,128,1194,1005,2,7.9,8257,11,24,22,100.0,13.8,10.0,4,9.0,0.3,200,5,0
1,2824,28,176,1252,1095,204,9.4,4914,4,3,11,113.2,14.0,14.0,3,1.0,0.0,200,13,0
5,2017,3517,24,1062,984,19,8.8,3464,5,41,10,103.3,13.6,20.0,3,2.0,3.3,426,3,0
115,12421,68,25,1373,1291,233,10.3,4845,19,14,16,113.4,13.9,13.0,3,0.0,0.2,550,2,1
2,1361,2992,108,946,858,36,8.4,7944,8,8,7,103.2,14.0,17.0,3,1.0,0.1,200,2,0
196,3448,183,21,1104,953,5,8.7,4036,11,23,11,99.5,13.5,11.0,4,9.0,0.1,200,11,1
3,9492,3008,1,1327,1033,235,8.7,4843,11,20,13,106.3,13.4,16.0,2,2.0,0.6,200,2,0
1,5396,281,34,1356,1074,246,9.0,4937,11,38,71,116.3,14.3,15.0,4,7.0,0.7,200,5,0
6,6833,1415,139,1165,987,170,9.0,5008,25,12,11,114.4,13.6,17.0,3,1.0,0.0,200,29,1
3,1744,23,121,1220,1039,215,9.3,4188,8,4,11,112.2,13.9,15.0,2,3.0,0.1,200,1,0
1,1382,3555,3,1122,914,163,10.0,3932,5,12,378,112.2,14.0,18.0,4,41.0,0.4,582,4,0
4,2545,2840,243,941,758,32,9.0,4958,125,96,10,94.5,13.6,13.0,2,2.0,1.1,200,2,0
2,3546,439,52,1541,1211,178,6.4,5700,19,95,146,133.5,16.6,41.0,3,4.0,3.1,200,19,0
0,2515,65,4,1060,881,93,9.8,7389,27,22,8,99.7,14.1,15.0,2,1.0,0.1,200,1,0
2,6597,28,174,1392,1129,244,9.1,5223,22,10,13,111.8,13.6,27.0,2,4.0,0.3,200,2,0
0,1325,129,21,1133,972,2,8.4,4189,5,86,29,96.8,13.3,13.0,9,7.0,1.5,200,36,0
1,1718,422,6,1190,1009,0,8.2,5980,13,20,238,95.9,13.3,12.0,2,1.0,0.6,200,2,0
5,2047,3124,148,1450,1086,237,10.4,4324,15,21,11,118.4,14.5,16.0,0,6.0,0.7,200,3,0
11,1170,1399,31,1367,1165,50,7.9,3591,8,52,920,87.5,12.5,15.0,2,8.0,0.5,370,72,0
2,2605,2018,6,1258,1066,1,8.3,6413,2,10,254,91.5,13.1,16.0,2,0.0,0.2,200,1,0
1,6925,169,1,936,835,36,6.6,6284,16,16,11,87.4,12.6,13.0,2,2.0,0.4,6150,1,0
0,3377,23,0,1139,979,0,7.4,11150,27,38,9,114.3,15.3,13.0,3,3.0,1.1,200,1,0
4,1766,2830,325,1156,1046,2,8.0,3787,13,16,12,98.5,13.0,11.0,16,1.0,0.5,200,1,1
0,2710,7,186,850,733,3,8.0,3189,8,1,8,100.2,13.3,12.0,1,0.0,0.0,200,0,0
3,1411,3328,8,1198,941,62,7.0,3942,10,34,12,98.7,13.2,14.0,0,2.0,1.2,611,6,0
0,2266,13,31,1032,864,4,7.9,3925,2,54,22,91.4,12.4,11.0,3,3.0,0.7,609,45,0
0,3515,71,0,1133,998,4,8.5,7705,11,21,12,99.0,13.2,10.0,5,3.0,0.3,200,3,0
1,1907,2267,14,1137,1053,12,8.1,11720,3,11,11,96.9,13.5,10.0,6,0.0,0.3,200,0,0
5,5198,2846,338,968,841,144,9.7,3532,16,27,364,125.2,15.1,13.0,3,4.0,0.7,200,9,0
5,6453,2724,295,1266,1033,13,7.1,5720,12,24,209,86.8,12.3,12.0,2,11.0,0.6,200,2,0
0,2066,44,1,1060,904,193,9.8,3640,4,18,396,115.5,14.4,12.0,0,3.0,0.4,1266,2,0
3,11110,3902,145,1199,1047,14,9.6,11030,9,17,15,103.4,13.9,12.0,3,3.0,0.6,200,0,0
0,1723,97,8,1075,891,0,8.9,8752,9,9,10,89.1,12.7,11.0,4,3.0,0.0,200,2,0
1,4787,10,168,962,825,0,7.2,3866,5,14,11,92.1,13.0,10.0,4,3.0,0.5,200,0,0
3,2515,2985,472,1094,922,5,8.6,8358,32,31,115,113.1,14.5,15.0,0,2.0,0.4,200,8,0
10,5409,20,3,959,900,40,7.7,9456,4,17,11,94.4,12.7,12.0,2,2.0,0.2,200,4,1
3,1567,3060,2,1237,1075,2,9.3,6501,15,21,13,115.3,14.2,20.0,2,3.0,0.1,357,4,0
4,2259,3180,150,994,838,142,9.1,4485,8,15,305,84.9,11.6,14.0,3,6.0,0.1,200,2,0
3,1789,4106,16,1086,920,2,8.5,4209,5,43,10,101.1,13.5,17.0,2,3.0,2.8,433,3,0
3,1178,17,5,1102,950,43,8.5,10180,18,6,9,100.3,13.7,16.0,3,4.0,0.2,378,1,0
3,2484,3019,61,1234,1162,35,9.3,12460,16,29,44,113.1,13.9,11.0,3,0.0,0.8,200,3,0
0,2069,145,17,1263,1147,5,7.0,4358,11,27,13,95.6,12.6,12.0,6,3.0,0.0,200,11,0
2,5430,2099,11,1440,1281,263,9.7,5309,10,19,10,114.8,14.2,13.0,4,3.0,0.6,200,2,0
0,2607,50,2,1412,1250,271,9.5,5114,23,2,14,119.9,14.2,19.0,0,2.0,0.0,200,0,0
2,1352,39,0,1204,1069,2,9.2,4011,9,50,15,102.7,13.6,10.0,7,6.0,0.4,200,16,0
1,1664,73,2,1335,1131,236,8.9,4580,9,22,14,124.5,14.9,18.0,3,5.0,0.4,548,5,0
0,17832,228,2,1259,1121,0,8.8,6332,12,6,253,95.6,13.3,13.0,9,7.0,0.0,200,0,0
2,1680,13,126,1418,1272,5,9.9,7637,3,6,21,117.7,14.3,15.0,2,3.0,0.1,200,1,0
2,3748,31,207,1192,1071,53,9.0,6749,30,33,12,122.0,14.9,18.0,3,4.0,1.5,200,3,0
2,1444,2140,6,1223,997,37,7.2,3469,10,62,740,82.1,12.6,12.0,3,4.0,0.4,200,27,0
0,1424,15,158,1116,933,0,7.6,4226,5,16,11,96.0,13.0,12.0,3,2.0,0.2,624,1,0
2,4082,3730,3,1031,861,1,8.4,3732,6,15,10,94.3,12.7,8.0,4,3.0,0.8,375,1,0
8,3065,24,158,1040,920,36,7.9,3939,12,25,9,95.8,12.5,12.0,4,3.0,0.1,200,33,0
3,4556,3734,9,1295,1147,4,8.9,6569,9,10,14,116.0,14.2,17.0,2,3.0,0.0,200,5,0
6,1467,2204,2,1135,1001,44,7.9,8902,9,13,10,97.0,12.8,11.0,0,2.0,0.3,200,1,0
2,1751,73,5,996,922,37,7.4,8611,16,11,10,96.0,13.0,14.0,2,0.0,0.2,200,0,0
