CA,V40,AL,MG,ANONYMOUS_1,BA,MO,S,P,CU,B,PQINDEX,FE,ZN,NA,K,SI,MN,ANONYMOUS_2,PB,Y_LABEL
3325,69.5,5,10,3900,0,1,10300,1034,18,242,10,9,1086,0,0.0,3,0,200,0,0
136,76.4,0,9,1730,0,27,7138,995,3,19,17,10,1087,13,4.0,7,3,930,1,0
3508,58.4,0,6,1355,3,3,4987,1007,165,100,5,11,1140,21,0.0,5,1,550,1,0
135,69.2,0,13,1415,0,128,7690,1120,759,17,24,25,1248,7,3.0,4,0,615,1,0
133,74.4,0,9,1504,0,0,9198,1044,38,17,16,4,1181,3,2.0,2,0,900,0,0
134,64.8,0,11,1844,0,8,4474,1133,219,18,6,17,1208,26,3.0,4,0,1044,1,0
156,76.6,1,13,1382,0,227,4539,1255,1,1,4,20,1361,5,0.0,2,1,200,0,0
1528,67.6,1,7,4589,0,2,4163,1032,378,0,12,21,1170,25,6.0,4,0,200,0,0
16,61.6,1,7,2041,0,1,4255,884,6,172,15,16,929,20,4.0,2,4,510,0,0
21,82.7,0,59,9096,0,7,4735,1025,0,0,5,6,1138,2,0.0,3,0,632,0,0
3526,70.7,2,14,2799,0,11,4921,1124,19,23,17,16,1247,9,3.0,4,0,1593,0,0
227,78.6,1,251,1688,0,0,6702,1146,0,7,27,28,1278,3,0.0,2,0,200,0,0
3432,68.7,0,15,5447,0,0,4683,1048,0,112,5,14,1226,3,2.0,3,0,200,0,0
2178,76.4,1,77,5951,0,33,7376,1117,51,8,10,12,1186,2,1.0,6,0,200,0,0
1121,38.6,0,0,3055,0,0,1924,324,3,6,20,68,23,0,1.0,2,0,200,0,0
107,111.6,1,11,1468,0,0,5175,1087,9,2,126,101,1351,0,0.0,23,2,550,0,0
3458,64.6,2,11,1000,0,126,5218,872,5,310,20,26,991,12,1.0,5,1,200,2,0
74,74.3,2,133,1201,1,0,4085,1069,3,5,9,17,1256,13,0.0,3,0,401,0,0
3489,68.0,2,8,7095,0,0,4494,1084,3,4,7,16,1255,11,1.0,4,0,879,0,0
2131,81.8,4,285,5960,0,1,7075,1175,0,3,16,12,1269,3,2.0,4,0,200,0,0
61,73.0,0,11,1000,0,42,4519,1121,3,2,11,12,1210,3,3.0,3,0,200,0,0
40,78.0,4,85,6453,0,116,5240,1121,48,1,11,8,1297,3,1.0,2,0,200,0,0
3579,35.6,2,0,6639,0,0,1250,250,7,114,17,45,16,3,2.0,4,0,913,0,0
3191,59.5,2,193,1441,0,0,6196,1173,22,117,23,28,1409,30,3.0,5,25,641,0,0
3375,59.2,2,7,1454,2,0,4827,1031,8,110,15,20,1181,20,4.0,5,1,200,0,0
116,80.8,3,217,6618,0,1,5252,991,0,1,26,17,1080,1,0.0,3,0,375,0,1
43,73.2,3,12,3066,0,113,8792,1114,3,0,25,39,1168,16,2.0,8,1,2266,0,0
16,62.8,2,11,2054,0,27,8579,838,5,4,35,38,951,8,2.0,8,0,200,2,0
2759,71.5,6,11,1688,1,131,4607,1107,6,17,17,22,1187,14,3.0,3,3,200,0,0
64,75.5,1,10,3859,0,201,4811,1122,2,0,29,18,1259,10,0.0,3,0,200,0,0
136,73.0,0,13,2041,0,118,4101,1106,6,0,21,22,1251,18,2.0,3,4,200,0,0
3511,71.0,1,59,2927,0,3,4174,974,0,4,8,10,1078,2,2.0,2,0,587,0,0
136,68.9,0,17,2533,0,44,9015,1000,0,1,6,12,1069,4,1.0,8,0,1733,0,0
128,36.9,0,1,7461,0,0,1490,378,18,126,204,31,93,1,2.0,3,0,200,2,0
73,68.9,2,14,1343,0,45,11660,1141,0,0,12,8,1149,3,5.0,7,0,200,0,0
178,70.0,0,11,1478,0,131,4921,1131,5,25,31,24,1283,13,3.0,4,0,200,0,0
2602,77.6,3,10,1405,2,135,7124,991,0,3,28,15,1099,3,9.0,5,0,605,0,0
3093,72.7,4,11,1359,0,133,4472,1072,4,112,20,21,1212,13,3.0,4,3,200,0,0
4196,38.0,4,0,16413,0,0,1153,289,8,4,31,114,13,2,0.0,3,1,375,2,0
171,62.7,2,7,1758,2,1,4577,1190,177,6,18,13,1279,15,0.0,5,0,550,0,0
2153,82.7,3,234,6915,0,0,6097,1052,0,4,18,14,1186,0,2.0,4,0,200,0,0
2888,65.2,0,9,3088,0,0,3900,1033,2,3,7,19,1146,11,0.0,2,0,200,0,0
2707,72.6,3,11,1404,0,122,4884,1117,259,2,14,22,1280,16,2.0,4,0,200,0,0
3384,69.7,1,13,3109,0,47,4174,1039,4,5,15,31,1153,5,2.0,4,0,200,1,0
3293,74.5,2,14,2258,0,164,6688,1236,3,452,8,23,1400,7,3.0,6,0,200,0,0
152,62.3,0,7,2050,0,0,3928,898,8,0,22,11,1038,26,2.0,2,1,200,0,0
3321,82.4,5,14,2773,0,241,5017,1247,2,100,23,17,1423,7,2.0,2,0,200,0,0
2772,72.8,3,10,1308,1,2,3573,990,0,95,5,54,1115,2,3.0,8,0,200,0,0
3380,64.3,2,8,1363,4,1,5996,1119,98,120,10,8,1083,15,0.0,2,0,563,0,0
135,66.3,1,11,3286,1,4,8525,1075,283,17,25,15,1131,14,1.0,3,0,200,0,0
3275,74.4,3,10,2190,0,53,5435,1090,0,119,12,14,1029,0,1.0,4,0,200,0,0
42,65.6,155,10,1370,0,28,8976,1011,2,420,19,25,1053,12,0.0,6,0,570,0,1
4175,51.7,1,9,8926,1,0,4368,893,11,130,30,35,1013,23,2.0,4,0,200,0,0
3451,70.8,3,8,1912,0,106,4842,928,5,363,20,13,1025,9,2.0,3,0,200,0,0
39,69.1,6,11,3156,0,0,4255,1015,0,0,6,12,1126,4,0.0,2,0,956,0,0
2942,77.7,1,12,2390,0,0,5133,1072,0,45,6,8,1021,2,0.0,3,0,200,0,0
60,59.0,1,6,1956,0,0,3979,953,6,6,22,12,1046,25,3.0,3,3,200,0,0
87,68.1,3,18,2849,0,2,7619,1009,4,0,6,10,1130,8,1.0,3,0,649,0,0
2934,72.7,6,11,3467,0,2,4944,1031,0,123,5,6,1135,5,2.0,3,0,200,0,0
45,66.3,0,13,2390,0,32,9366,902,3,0,39,38,941,6,3.0,9,1,200,1,0
2842,78.1,9,218,1352,0,85,3982,924,392,193,10,24,996,14,6.0,5,0,200,2,0
149,44.8,2,158,7440,0,0,5016,1176,40,23,7,54,1361,67,5.0,5,20,200,2,0
2567,70.5,0,10,3772,0,1,4215,1067,0,3,6,9,1198,2,0.0,2,0,200,0,0
2540,83.7,0,12,2495,0,254,5175,1397,1,2,17,12,1438,4,3.0,5,0,200,0,0
144,70.6,1,9,1387,0,124,3852,1071,189,18,14,17,1060,13,1.0,4,0,587,0,0
7,77.8,4,10,1439,1,177,4486,1164,3,0,10,21,1287,11,0.0,2,2,200,0,0
2978,78.9,2,9,4531,0,20,3255,1018,1,61,7,7,946,2,0.0,2,0,533,2,0
3333,87.7,4,123,1767,0,85,6409,1060,336,154,9,12,1175,5,2.0,7,0,200,0,0
2771,73.5,5,14,1718,0,7,4998,1068,124,110,20,11,1181,19,7.0,3,0,200,0,0
3660,68.9,6,14,1361,0,42,10000,939,1,126,6,10,1022,5,2.0,7,0,561,0,0
2936,72.2,2,11,4144,0,0,4783,1032,2,5,10,11,1050,3,0.0,2,0,549,1,0
49,74.8,0,11,1345,0,4,4627,1046,0,163,5,7,1251,2,1.0,2,0,200,0,0
2732,79.6,2,236,1738,0,92,4099,1011,322,33,3,21,1181,15,6.0,5,0,200,0,0
104,83.9,0,10,1690,0,208,4177,1183,585,11,4,18,1363,4,5.0,3,1,890,0,0
175,72.2,1,8,1757,1,157,5329,1201,739,4,10,24,1343,11,5.0,6,0,550,0,0
3167,73.0,10,299,2012,0,119,5251,840,587,157,11,28,914,5,2.0,5,0,200,0,0
3995,74.1,3,11,4701,0,34,8223,966,2,569,16,25,1009,6,0.0,9,0,200,0,0
2879,79.2,3,10,1702,0,74,4000,1014,0,132,14,9,1155,0,0.0,2,0,200,0,0
4,71.2,12,9,2449,0,1,4099,1060,0,210,5,7,1180,4,0.0,2,0,200,0,0
54,57.5,0,6,2075,0,1,4321,952,4,2,20,17,1094,20,4.0,4,0,200,0,0
3397,75.8,1,9,1555,4,49,9337,1132,251,94,19,12,1204,5,0.0,3,0,755,0,0
2794,67.4,0,10,3099,0,34,6191,1126,2,97,14,18,1230,7,0.0,6,0,200,0,0
447,72.6,0,31,1737,0,109,4540,897,244,16,13,13,1036,4,1.0,3,0,200,0,0
3439,61.2,5,4,1527,0,3,2640,525,3,146,28,15,619,13,2.0,2,3,368,0,0
46,62.7,1,6,2785,0,3,3887,954,130,5,27,22,1073,22,4.0,4,4,200,0,0
2629,77.5,0,11,1977,1,62,4871,1086,1,5,5,10,1235,3,2.0,3,0,200,0,0
63,82.8,0,12,3947,0,284,5777,1352,2,0,23,14,1452,4,3.0,4,0,200,0,0
136,70.8,0,9,1891,0,4,4388,1048,0,15,5,8,1169,4,2.0,1,0,200,0,0
3313,73.3,0,55,1344,0,7,6664,1194,299,102,6,11,1352,4,3.0,4,1,544,2,0
2975,94.4,2,261,10182,0,1,6494,1125,0,170,22,9,1238,0,3.0,8,0,200,0,0
3319,65.4,4,9,1520,0,2,6222,1114,98,18,16,19,1162,12,6.0,4,0,200,0,0
3040,58.4,5,13,2841,8,15,3155,687,85,97,7,16,791,35,1.0,4,7,200,187,1
3020,80.6,4,192,1436,0,18,4626,1022,0,113,4,13,1066,1,1.0,2,0,200,0,0
119,71.6,1,15,1396,0,42,9816,1040,3,7,10,6,1143,2,2.0,6,0,596,0,0
3313,80.3,10,379,2701,0,152,4203,1001,436,63,18,20,1075,7,2.0,6,0,200,0,0
3031,79.7,4,13,5412,0,30,3550,1009,2,87,8,6,1010,4,1.0,8,0,471,0,0
2762,66.7,9,6,1683,0,2,5023,1217,736,190,23,28,1316,26,2.0,4,0,200,2,0
27,72.3,5,6,5035,1,1,8063,998,7,0,14,8,1002,7,3.0,2,0,200,0,1
3189,64.8,4,7,1383,6,5,4586,1051,111,112,23,21,1083,22,2.0,3,4,583,3,0
3217,74.2,9,11,1371,0,0,7559,722,10,131,10,5,829,3,2.0,2,0,417,0,0
10,78.2,2,11,3446,0,47,11030,1023,4,2,6,24,1080,0,6.0,15,0,200,0,0
127,55.7,0,3,2834,0,0,3850,925,6,0,31,30,1014,24,5.0,2,2,200,3,0
91,66.8,0,73,1762,0,38,8482,1112,3,213,13,25,1149,5,1.0,6,0,200,0,0
3281,74.7,5,13,1566,0,29,6049,1131,55,13,10,13,1233,15,6.0,5,0,375,0,0
3001,70.3,3,14,3169,0,140,4605,1192,5,139,23,23,1340,12,3.0,4,0,200,0,0
163,36.7,0,2,1732,2,0,1012,253,10,150,13,37,22,10,0.0,4,0,932,0,0
2171,79.1,2,174,7195,0,88,6428,1230,0,3,15,17,1337,2,2.0,5,0,200,0,1
3502,83.7,5,15,4143,0,128,4651,1176,1,134,19,8,1236,4,1.0,4,0,200,0,0
