CA,ANONYMOUS_1,AL,PQINDEX,P,FE,V40,ZN,B,S,SI,MO,NA,CU,ANONYMOUS_2,BA,MG,K,CR,MN,Y_LABEL
3114,3043,2,88,2691,2079,146.6,24,110,44770,6,18,7,3,200,0,3,1.0,7,15,0
3843,2765,4,58,925,74,63.2,1140,471,3607,8,0,1,22,550,0,7,2.0,0,0,0
3033,1653,7,195,1170,220,70.2,1477,96,9677,25,10,14,8,200,1,10,2.0,3,5,0
3960,1704,3,57,989,76,125.8,12,464,18720,1,0,0,6,200,0,0,0.0,1,0,0
110,2883,0,342,1490,233,150.3,21,0,25120,126,0,4,0,200,0,3,5.0,3,3,0
21,1728,0,438,595,77,131.5,29,1,18410,12,0,0,0,403,2,2,0.0,0,0,0
15,2108,0,305,436,64,148.0,45,1,22560,5,2,1,0,200,0,2,0.0,0,0,0
92,2862,4,1686,882,1645,325.3,19,0,20920,841,2,10,6,400,0,15,17.0,16,15,0
2228,1374,2,10948,506,227,126.9,10,3,20030,110,0,3,1,375,0,6,5.0,2,3,0
47,5474,1,22,1001,17,68.9,1320,4,9914,21,0,12,16,200,1,8,2.0,0,4,0
32,3468,0,45,848,194,123.6,15,56,16670,3,0,2,7,200,0,0,0.0,2,1,0
2052,2052,3,379,279,456,132.8,23,28,17720,116,0,4,1,200,0,26,3.0,11,4,0
47,1664,4,126,931,94,128.6,24,3,17480,3,0,1,41,548,1,0,0.0,1,1,0
48,3090,0,626,217,71,150.1,10,5,15070,0,0,0,0,200,0,0,0.0,0,0,0
6,1737,0,1392,1971,123,137.3,17,17,30380,3,15,2,26,200,0,103,0.0,0,1,0
201,5204,0,642,1218,192,124.4,28,5,22190,113,2,6,0,200,0,6,4.0,3,3,0
25,1677,6,38,2280,47,133.2,19,1,33490,2,1,2,1,200,2,1,0.0,0,0,0
29,5212,0,94,945,105,127.7,28,10,18720,2,0,1,32,1031,0,0,1.0,2,2,0
513,1726,0,2551,513,145,169.9,148,193,16110,7,0,4,0,200,7,0,6.0,2,3,0
3164,1394,3,2380,900,807,124.7,88,24,16610,275,9,4,2,200,0,9,13.0,5,5,0
4243,4531,2,30,1335,26,112.9,1470,149,4552,69,0,23,15,533,0,12,0.0,0,0,0
104,9109,19,254,94,183,140.7,4,1,14240,16,0,0,0,636,0,0,2.0,2,1,1
2153,2400,3,377,644,222,134.2,28,4,15815,8,1,2,5,401,0,4,2.0,8,6,0
3726,4942,2,314,1161,259,107.9,1443,135,5993,62,3,2,16,200,1,19,2.0,1,4,0
61,4560,2,100,1031,140,128.6,6,2,19460,26,0,2,0,200,0,9,0.0,4,2,0
66,5204,1,312,1200,94,124.8,22,3,22720,29,0,4,0,200,0,1,2.0,1,1,0
10,1700,1,33,1000,24,145.1,24,183,26240,0,1,3,34,557,0,0,0.0,0,1,0
2663,1191,4,22,335,61,137.7,25,5,18430,6,0,0,8,391,4,2,0.0,1,1,0
145,1338,0,137,802,64,131.3,29,12,17810,3,4,2,0,200,0,0,0.0,1,1,0
10,3514,2,209,1033,45,126.6,118,167,21230,2,16,2,0,550,2,2,0.0,0,0,0
3439,1355,1,160,2485,71,138.6,26,123,37780,2,2,3,15,200,2,1,0.0,2,1,0
63,1373,3,3825,402,150,138.5,13,7,13850,0,0,4,0,200,0,2,0.0,3,3,0
94,1140,0,65,936,151,134.7,83,4,20510,8,0,0,14,200,0,2,2.0,1,1,0
23,3377,0,31,884,35,151.4,183,2,18250,6,0,2,1,200,0,5,3.0,1,0,0
76,1364,3,699,1111,1008,70.6,1319,4,9352,25,15,9,11,200,1,10,0.0,6,11,0
2060,4455,2,81,468,41,136.7,39,6,20680,1,1,1,0,200,0,7,6.0,1,0,0
3121,1120,5,75,1027,152,58.5,1215,6,8213,17,4,5,22,320,7,7,0.0,0,11,0
144,1816,1,67,217,56,166.0,14,15,20260,3,0,0,4,1016,0,0,2.0,0,0,0
16,1714,2,68,216,32,140.5,27,3,20780,3,0,1,0,200,0,1,2.0,0,0,0
76,4251,74,196,278,125,129.6,23,4,18620,7,0,2,16,200,0,0,0.0,1,2,1
1775,1578,3,436,339,202,136.0,18,137,14530,56,0,7,0,200,0,3,3.0,1,3,0
305,4614,729,2025,432,2011,152.3,93,2,18460,1237,5,7,5,622,5,25,38.0,18,19,1
152,1788,1,42,1036,34,111.2,1350,24,5612,57,1,0,4,200,0,9,0.0,0,0,0
48,78418,0,16,850,17,134.0,35,0,19870,0,0,0,1,200,0,11,0.0,0,0,0
3579,3470,2,102,1177,68,111.3,1237,27,6060,63,1,18,14,424,0,12,0.0,0,0,0
3277,1350,2,210,965,64,133.9,70,115,17480,2,10,1,0,200,1,1,0.0,2,1,0
55,4274,1,190,1282,394,70.8,1529,3,10380,35,12,17,14,200,0,9,5.0,6,9,0
2809,5221,2,159,755,126,137.4,65,405,15940,3,1,2,31,200,0,2,0.0,3,2,0
2276,3078,4,594,461,180,167.4,28,5,16910,6,0,7,0,200,3,3,4.0,3,3,0
3461,2364,5,261,915,86,126.3,26,408,17860,3,0,3,0,200,0,0,0.0,0,0,0
38,4579,3,197,221,65,144.0,21,2,21230,3,0,0,0,200,0,3,0.0,0,0,0
94,2824,1,42,2324,179,185.1,38,8,31400,5,0,7,14,200,0,5,2.0,1,2,0
3349,1998,1,312,828,132,133.2,26,113,15900,6,0,2,17,303,0,1,0.0,2,2,0
3566,2871,8,18,2243,105,148.4,46,17,21760,2,1,8,13,200,2,2,2.0,1,1,1
11,5043,0,152,409,62,138.6,8,3,25060,4,0,0,0,200,0,0,1.0,0,0,0
3913,1537,10,472,296,253,144.9,27,168,12510,22,0,1,15,364,0,0,0.0,5,2,0
4162,3251,3,195,1927,399,137.7,49,2,25730,9,0,5,1,200,0,2,9.0,2,15,0
2887,2201,4,61,2538,333,147.6,41,111,27895,2,38,2,13,200,0,1,15.0,2,3,0
3088,1730,10,4100,1204,1095,69.6,1364,102,9615,24,10,12,129,200,0,8,1.0,3,44,0
24,5572,0,1061,204,818,146.7,11,195,18290,689,1,4,3,200,0,360,7.0,77,33,0
57,2440,88,795,611,952,133.5,66,2,27540,277,3,4,2,200,1,5,20.0,8,10,1
3453,1712,2,232,335,193,139.6,12,5,22060,119,0,6,1,375,0,14,3.0,3,3,0
2505,1145,3,33,312,36,129.7,57,7,19770,2,0,1,0,200,7,8,1.0,0,0,0
2268,1443,4,1046,288,223,181.1,27,7,6913,5,0,4,1,200,0,2,1.0,4,4,0
1819,1379,1,301,604,147,231.7,79,2,29020,11,2,0,31,200,0,2,0.0,0,0,0
20,2603,2,160,1022,145,127.0,16,1,20860,17,0,6,0,200,0,1,2.0,2,1,0
8,1393,10,104,1014,124,46.8,1216,0,4058,27,4,55,11,593,1,13,5.0,6,6,0
3244,3457,3,7,387,12,140.1,32,426,17740,6,0,2,2,200,0,8,0.0,0,0,0
177,1373,0,54,353,39,134.8,116,3,11520,11,0,2,0,200,0,2,1.0,0,0,0
879,2387,0,222,274,144,126.1,9,2,16790,32,0,5,0,379,0,9,0.0,3,0,0
11,4822,1,2061,913,136,150.8,17,0,25300,11,0,4,0,200,0,3,0.0,1,2,0
3513,1879,13,85,2449,105,142.4,26,101,30460,4,1,5,2,200,0,0,0.0,0,2,0
3101,2061,6,89,207,79,137.8,62,2,5615,7,0,5,83,550,0,1,1.0,1,2,0
2656,2031,11,56,197,54,161.3,11,208,10980,4,0,0,0,200,0,0,0.0,2,0,0
31,1756,0,72,541,30,151.6,13,141,18640,2,1,0,0,200,0,2,2.0,0,0,0
2518,1364,3,70,757,74,135.9,80,1,15310,3,0,1,115,375,1,0,1.0,2,3,0
4322,2089,4,119,424,494,140.2,472,512,14210,15,0,0,819,200,0,0,6.0,7,16,0
1,2091,0,47,977,33,122.5,108,153,18910,0,14,1,66,200,0,0,0.0,1,0,0
20,2092,0,568,937,59,138.7,9,3,19600,3,0,2,0,200,0,0,7.0,1,0,0
3405,1970,3,231,308,266,115.7,200,0,4281,2,0,2,319,632,0,0,0.0,6,5,0
30,4154,0,1955,198,529,144.2,20,1,10980,240,0,5,2,200,0,6,9.0,6,6,0
3714,2068,4,232,2078,1772,176.3,13,122,26560,17,12,2,2,1268,0,0,3.0,8,13,0
2,2009,0,38,1211,23,127.1,7,204,22560,2,0,1,6,200,0,0,0.0,0,0,0
2745,2920,5,453,198,509,121.7,272,3,5183,19,0,0,436,375,0,2,3.0,12,10,0
101,2061,1,193,2183,32,145.7,34,3,28500,1,1,3,1,550,1,12,6.0,0,0,0
200,4194,2,216,253,239,142.0,54,7,13620,33,2,3,1,200,0,4,3.0,3,2,0
2512,1744,3,2091,356,967,146.4,124,94,22030,438,0,12,196,200,0,32,14.0,10,7,0
7,2771,1,68,835,73,130.9,19,149,18530,2,0,3,21,200,0,0,1.0,1,1,0
41,4372,37,83,409,37,139.3,10,166,18780,1,0,1,0,200,0,2,2.0,0,0,1
2979,2012,2,142,1026,355,56.6,1088,113,7526,12,4,0,65,200,0,11,0.0,4,7,0
14,1680,0,823,284,295,114.3,72,139,8255,8,0,4,101,200,0,0,0.0,4,4,0
10,6903,0,285,2170,159,177.5,15,178,33640,4,0,2,4,200,0,1,0.0,0,1,0
10,8766,0,42,2263,412,142.2,49,6,32240,2,18,3,7,200,0,1,0.0,1,4,0
17,3927,2,68,767,20,133.4,156,133,15770,4,0,2,0,200,0,2,2.0,0,0,0
9,3791,0,14,614,44,154.6,17,201,28310,2,1,0,4,200,0,0,1.0,1,0,0
3106,1704,4,118,997,111,129.6,28,80,21350,5,0,0,20,200,1,2,0.0,2,2,0
2879,1693,4,2698,1714,514,154.8,51,147,22920,21,1,9,18,200,0,3,2.0,9,11,0
1680,1161,5,2111,996,1166,127.8,17,0,19940,471,2,4,5,361,5,17,8.0,12,12,0
11,4516,1,155,1105,677,130.3,100,2,22160,10,0,4,90,200,0,13,6.0,9,7,0
3438,3183,2,83,1001,71,127.8,216,4,19480,20,0,0,113,200,0,2,1.0,2,1,0
2879,2841,9,16,989,8,134.7,12,216,20600,0,0,1,3,200,0,0,0.0,0,0,0
6,3102,0,124,972,134,132.1,31,43,20960,5,2,1,0,200,0,5,2.0,2,1,0
79,3100,0,114,815,32,127.1,28,4,22500,2,0,3,0,200,0,1,0.0,0,0,0
2854,2274,2,357,117,128,141.1,17,4,12780,8,0,0,0,200,0,0,2.0,1,1,0
55,5890,1,114,592,100,140.8,11,1,16700,2,0,5,0,5100,0,3,5.0,0,2,0
124,1371,0,99,2120,161,145.9,34,17,27700,2,4,0,7,200,0,0,0.0,1,1,0
4,1699,2,104,338,166,139.7,63,2,13330,3,0,0,71,550,0,1,1.0,3,2,0
44,1320,0,27,950,33,130.5,12,4,20980,0,2,4,15,520,0,0,0.0,0,1,0
3226,1318,3,77,1052,98,60.8,1240,107,8533,9,0,0,16,518,3,6,1.0,1,1,1
447,1359,1,24,1099,33,127.2,19,17,19340,1,1,0,2,200,1,0,1.0,0,0,0
101,2414,0,17,890,17,136.6,12,85,20710,2,0,0,3,200,0,3,4.0,0,0,0
134,1366,0,170,1068,114,57.8,1307,22,3568,8,2,21,3,200,0,11,2.0,2,3,0
136,1335,0,96,2589,350,132.6,78,19,33620,10,10,8,17,535,0,3,0.0,3,4,0
2238,4653,4,1861,881,599,131.1,14,3,20060,498,0,5,3,200,0,4,16.0,7,5,0
2599,3033,0,96,1187,60,111.8,1429,4,5687,35,1,18,8,200,0,11,2.0,0,0,0
319,2082,5,44,141,24,146.4,8,13,18820,0,0,0,1,200,0,0,0.0,0,0,0
62,2076,1,113,288,115,200.3,49,1,8831,16,0,3,2,200,0,3,0.0,0,0,0
487,4941,1,32,1106,26,126.9,48,10,18830,4,6,1,10,200,0,3,3.0,0,0,0
132,1370,1,1885,650,109,153.0,15,21,22930,6,0,2,2,200,0,8,1.0,1,1,0
2305,3599,5,1518,1015,69,130.6,29,13,20210,4,0,0,0,200,1,0,2.0,1,0,1
106,2047,0,164,765,119,128.2,20,9,23610,24,3,3,3,1247,0,7,2.0,1,1,0
3057,1524,2,2492,489,237,133.6,21,4,15690,48,0,9,1,200,0,2,5.0,4,3,0
122,6136,0,189,988,116,142.6,23,146,22400,6,0,6,0,200,0,0,1.0,3,2,0
13,1665,2,302,211,482,140.0,77,9,7017,13,1,3,72,200,0,0,0.0,9,8,0
296,2125,0,82,521,61,139.0,31,11,22280,3,2,1,2,691,0,12,1.0,1,1,0
146,5035,0,616,2774,3141,137.1,29,13,36190,33,45,3,12,200,0,1,0.0,21,26,0
2482,5951,3,43,922,336,57.0,974,2,4170,9,0,2,380,200,3,9,3.0,1,3,0
2801,2394,4,125,158,179,145.7,46,110,4824,8,0,3,63,200,0,0,1.0,5,5,0
3657,7275,0,72,908,51,56.3,1011,134,3333,7,0,0,11,525,0,8,2.0,0,0,0
3017,1355,4,71,934,108,135.2,15,119,17370,2,3,0,19,200,0,0,2.0,1,2,0
102,1697,0,1690,315,1718,155.9,42,5,23960,492,2,2,5,200,0,7,15.0,11,13,0
13,2242,88,64,396,65,142.8,24,28,22140,7,0,0,2,200,2,3,2.0,2,0,1
34,2225,2,2231,370,74,138.1,15,10,13500,0,0,3,1,550,0,0,0.0,3,3,0
6,2836,164,146,355,60,154.7,78,193,19170,4,2,0,0,200,0,1,0.0,0,0,1
2848,1193,4,769,208,492,159.9,16,3,12980,218,0,1,3,393,2,0,4.0,5,4,0
73,1729,0,173,294,145,128.7,35,2,19730,12,0,3,0,554,0,0,0.0,2,1,0
10,1361,8,57,261,51,133.3,23,3,18430,1,0,2,3,200,6,0,0.0,1,0,0
8,1784,2,133,2334,212,140.2,27,113,34550,0,1,0,4,200,0,6,4.0,1,2,0
27,2050,464,204,999,65,133.8,153,143,20380,2,22,1,0,200,5,3,2.0,1,0,1
2664,4803,4,174,230,73,159.7,32,116,14560,8,0,2,0,200,0,3,0.0,0,1,1
13,2909,1,72,1276,181,54.6,1239,190,7056,9,28,29,182,200,0,100,3.0,0,23,0
38,3090,1,9,1115,46,126.4,36,1,19100,2,4,0,11,200,0,12,3.0,2,1,0
3056,1388,4,100,2370,291,145.9,28,56,30190,2,0,2,4,375,0,0,1.0,0,2,0
36,2581,0,29,266,20,131.9,6,1,19970,17,0,0,0,200,0,0,2.0,0,0,0
282,2134,2,221,1141,280,58.0,1307,11,3941,20,7,16,6,200,0,10,2.0,6,8,0
121,1000,2,419,880,139,131.9,26,160,19480,79,0,3,0,200,0,2,2.0,6,2,0
93,7115,0,297,275,77,179.7,88,8,13780,5,3,0,0,200,0,0,0.0,0,0,0
2702,3080,2,801,972,788,58.6,1148,2,6574,15,16,2,33,200,0,6,0.0,6,11,1
2998,2876,43,157,846,61,126.8,58,53,21360,2,9,0,0,200,0,2,5.0,1,1,1
3326,1634,5,304,1037,41,125.4,10,133,21740,0,2,4,0,200,0,1,0.0,0,0,0
158,1671,4,240,548,64,144.3,59,6,21200,10,2,4,0,488,0,2,0.0,0,0,0
2331,1182,8,811,1169,98,131.7,6,2,18280,10,0,0,2,382,4,0,0.0,2,1,0
274,2379,234,179,272,64,131.4,30,11,19190,26,0,2,0,200,4,7,0.0,0,0,1
21,1691,2,258,431,47,160.4,8,2,27340,3,0,0,0,200,0,1,3.0,0,0,0
3612,6880,1,26,1223,35,110.5,1438,8,6382,62,0,0,24,200,0,11,2.0,0,0,0
2851,9974,2,130,974,47,126.9,35,0,20890,1,3,4,38,375,0,0,0.0,1,2,0
2166,1441,2,13,1075,11,127.9,43,5,23270,1,1,2,1,200,0,2,1.0,0,0,0
82,6026,1,22,462,23,131.4,11,17,23960,3,0,1,5,200,0,0,0.0,0,0,0
75,1383,0,115,2231,1380,176.7,19,0,30610,23,11,4,4,200,0,2,0.0,7,12,0
17,1416,1,5,273,11,189.8,30,2,12870,2,0,0,0,616,3,0,1.0,0,0,0
2711,2406,5,183,236,83,110.3,31,2,8937,5,2,0,6,200,1,2,2.0,1,2,0
37,2144,23,192,299,146,179.8,113,3,18760,28,8,0,1,200,2,0,0.0,2,2,1
2990,5540,2,16,2545,21,137.0,56,0,36690,0,1,2,0,200,0,1,0.0,0,0,0
2935,1548,2,2054,395,134,136.7,26,2,12890,7,0,4,1,375,0,3,1.0,2,2,0
25,3447,0,16,2238,13,185.3,28,121,30010,17,0,5,0,550,0,1,0.0,0,0,0
2508,6758,3,289,500,139,154.1,18,1,25920,25,2,1,4,200,1,2,0.0,2,1,0
12,1389,0,479,1184,173,169.1,75,169,35130,59,7,3,2,375,0,36,2.0,7,2,0
3148,1331,3,327,489,282,141.1,32,11,18360,5,0,0,22,200,0,0,1.0,3,4,0
17,2150,0,950,1051,426,123.4,98,195,19270,200,10,2,38,200,0,31,9.0,6,4,0
11,6331,1,62,536,48,164.7,37,0,25830,2,0,1,0,200,0,7,3.0,0,0,0
4,2443,0,33,1159,40,129.2,13,200,20640,0,0,0,12,200,0,0,1.0,0,0,0
35,2384,1,5348,1118,2224,138.1,17,160,25770,2481,2,10,9,200,0,16,57.0,22,24,0
2987,39411,3,111,211,64,179.7,39,450,19960,6,0,0,0,200,0,0,0.0,0,0,0
3350,1182,4,377,1956,139,153.9,242,5,25050,5,4,7,6,382,6,2,26.0,2,2,0
113,1356,1,65,339,52,141.3,19,18,19630,11,0,2,15,200,0,0,0.0,1,1,0
46,4528,0,167,389,51,160.3,14,1,17130,3,0,1,0,200,0,0,0.0,0,0,0
87,1989,2,593,2178,99,142.7,8,5,25630,10,0,0,2,550,3,1,1.0,2,2,0
2586,2498,3,45,2279,1466,127.7,52,76,31760,5,29,5,3,200,0,3,2.0,5,11,0
3772,2551,1,43,1154,24,112.6,1260,126,4094,60,0,18,4,391,0,12,2.0,0,0,0
2857,1311,8,43,435,19,161.5,9,197,26810,1,0,0,2,511,1,1,1.0,0,0,0
3316,1364,6,2264,1940,3780,146.8,65,153,24920,67,29,3,8,200,0,0,0.0,47,48,0
3824,2902,3,86,1259,67,107.1,1344,116,4382,61,0,18,17,683,0,12,2.0,0,2,0
27,1688,2,19,2327,35,146.3,95,3,22153,3,1,2,20,200,2,2,4.0,0,1,0
56,2244,1,312,1224,300,71.1,1507,5,9467,27,14,9,7,1444,0,10,0.0,4,6,0
62,8096,0,238,1006,48,126.3,10,0,20990,1,2,5,0,1600,0,0,0.0,0,0,0
64,5153,6,88,365,71,135.0,16,18,24640,1,0,3,18,503,0,1,0.0,2,2,0
2,9832,0,742,687,272,154.5,18,3,28690,7,0,0,0,200,0,3,4.0,3,3,0
51,7679,8,88,502,195,143.4,103,2,13790,1,0,2,124,200,0,0,2.0,3,5,0
11,2038,2,444,224,613,159.6,13,8,18500,58,0,2,2,200,0,2,2.0,4,4,0
3016,2453,3,103,2120,81,139.3,42,146,32250,1,3,2,5,200,0,1,1.0,0,5,0
2558,22327,3,368,861,38,130.8,6,368,16360,1,0,2,0,200,0,0,0.0,0,0,0
19,2398,1,1013,435,117,119.0,36,8,22620,6,0,3,0,200,0,3,0.0,3,2,0
130,3565,1,3335,1798,1717,157.4,104,13,21900,347,2,12,114,911,0,3,9.0,25,20,1
69,2061,0,256,298,309,137.4,59,189,19350,35,1,4,1,200,1,3,1.0,2,2,0
18,2045,4,33,782,53,137.6,82,3,30980,0,0,1,30,200,2,0,0.0,0,0,0
13,1320,0,67,2543,164,145.0,48,148,27860,4,1,1,2,200,0,0,0.0,1,2,1
335,2068,16,5761,335,1395,212.1,98,15,20850,1760,0,19,4,200,0,17,73.0,13,15,0
121,1756,1,189,436,129,149.4,38,17,28950,2,0,2,10,956,0,1,0.0,2,2,0
124,1363,0,54,224,62,118.9,19,1,10630,2,0,0,0,550,0,3,0.0,0,0,0
3753,3912,4,92,297,58,135.3,72,1,26540,6,2,0,0,662,0,0,0.0,0,0,0
3095,2490,2,358,1288,292,187.5,50,399,19800,25,7,17,158,200,0,696,4.0,3,3,0
7,1511,3,274,468,65,147.1,29,6,24950,3,2,0,0,200,3,1,1.0,0,0,0
2499,1710,5,140,680,274,95.4,742,0,7099,40,27,7,27,200,0,7,1.0,8,2,0
2826,1750,2,1854,295,2458,159.0,29,38,17780,348,2,15,7,900,0,22,15.0,77,20,0
2077,2440,2,481,1191,896,56.4,1328,5,5065,17,8,0,5,413,0,14,0.0,11,6,0
198,9104,249,15,1052,27,119.5,954,4,13340,34,0,2,185,200,2,5,0.0,0,2,1
3512,3926,1,125,1138,88,105.5,1350,129,5592,62,0,2,7,676,0,11,0.0,0,0,0
117,3622,1,45,2093,94,129.9,2,11,24680,0,2,0,0,200,0,0,0.0,0,0,0
3045,1679,2,30,2381,98,143.3,15,2,40540,5,7,3,0,200,0,0,1.0,0,1,0
26,1525,0,152,471,119,156.8,17,23,26130,5,1,1,0,375,0,6,0.0,0,1,0
65,2414,1,144,349,134,197.4,37,1,18540,29,0,5,1,200,0,2,4.0,2,2,0
20,1715,3,87,799,103,346.4,18,191,21390,6,0,7,19,469,0,1,0.0,1,1,0
441,2415,2,55,519,150,234.9,21,0,26170,6,0,2,6,550,0,2,0.0,2,2,0
10,2367,3,1040,844,275,132.5,74,130,20130,8,17,2,1,200,1,35,2.0,2,7,0
50,1706,0,188,1053,90,111.4,1229,6,4921,49,2,2,7,200,0,10,0.0,0,1,0
57,1730,0,60,586,62,133.4,16,2,11910,6,0,0,0,200,0,0,1.0,0,1,0
62,2508,2,3374,2076,165,151.6,28,1,23690,10,0,4,13,200,0,0,0.0,3,3,0
134,2638,0,301,1079,182,132.7,9,15,23400,2,0,3,3,200,0,0,0.0,1,2,0
3092,1860,4,254,1243,231,131.5,75,123,21660,9,11,0,0,200,0,0,0.0,2,6,0
3121,3099,0,9568,755,763,143.0,27,110,19240,295,0,3,2,200,1,54,8.0,7,7,0
62,2138,0,295,917,455,46.5,1161,9,3197,10,5,2,5,200,0,6,1.0,7,5,0
20,2456,1,232,485,36,151.3,8,0,18330,15,0,2,0,200,0,2,0.0,0,0,0
3400,1919,2,72,697,71,139.3,26,9,16050,2,0,0,30,200,1,0,0.0,0,2,0
6,1356,1,262,1124,119,122.1,72,156,21190,9,7,1,0,200,3,16,2.0,0,0,0
1428,8021,4,20,362,18,178.7,15,24,22500,2,0,0,5,571,0,0,0.0,0,0,1
3232,7284,3,979,2013,4027,129.7,7,3,24930,22,20,2,10,534,0,4,1.0,20,29,0
3471,1445,3,245,390,26,135.5,51,0,18650,2,3,0,0,375,0,0,0.0,0,0,0
5,1364,0,52,991,38,136.1,17,2,20320,1,0,0,12,375,2,0,0.0,0,0,0
248,2439,0,9555,472,324,143.2,27,35,21920,7,2,4,1,200,0,3,2.0,4,3,1
3279,5275,2,905,110,822,141.1,12,117,13600,358,0,0,1,853,0,2,7.0,8,6,0
23,1691,1,1411,386,249,140.2,34,0,16620,0,0,0,45,200,0,0,0.0,3,3,0
2580,2488,0,84,823,64,109.8,995,2,4374,46,3,4,27,200,0,13,2.0,0,0,0
2740,2794,9,621,286,214,183.2,40,198,6512,20,0,9,2,200,0,9,0.0,3,4,0
111,2469,2,127,2315,228,132.3,121,7,31650,9,6,8,5,200,0,2,1.0,3,4,0
6,1485,7,35,941,66,138.6,9,3,21160,1,0,3,1,200,2,0,5.0,0,1,1
17,1693,3,537,331,188,134.5,129,40,10550,3,0,3,169,550,2,3,0.0,3,5,0
114,2092,0,297,511,308,142.3,63,14,15350,2,0,3,78,200,0,2,4.0,5,7,0
